MOOR HOUSE SIKE HILL,,,,,,,,,,
Grid ref,NY772321,Long,-2.3551556,Lat,54.683431,Elevation,1800,ft,,
Station no,3730/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.58,4.82,8.25
February,,,,,,,5.71,8.66,2.38,6.44
March,,,,,,,5.77,2.13,3.72,3.21
April,,,,,,,1.15,4.13,7.9,5.33
May,,,,,,,4.3,6.2,1.27,2.7
June,,,,,,,2.33,3.7,3.88,3.23
July,,,,,,,7.77,5.58,6.13,7.24
August,,,,,,,11.52,4.88,1.24,4.19
September,,,,,,,6.38,7.03,1.76,4.05
October,,,,,,,7.46,7.34,7.3,8.74
November,,,,,,,4.23,1.6,8.94,11.7
December,,,,,,,8.51,5.81,12.39,6.63
Total,,,,,,,,63.64,61.73,71.71
,,,,,,,,,,
"Gauge moved here from Mine Road end 10 Jan 1957, so Jan partial and total removed",,,,,,,,,,
"Elevation on record does not match elevation at NGR, 1840' is too high",,,,,,,,,,
