MOOR HOUSE (BOG HILL WEIR),,,,,,,,,,
Grid ref,NY773327,Long,-2.353651,Lat,54.688828,Elevation,1700,ft,,
Station no,3730/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.03,7.55,5.65,6.2,9.22,7.46,4.36,8.1
February,,,5.33,4,5.47,3.69,6.22,9.08,2.13,6.92
March,,,1.85,5.66,2.68,4.22,6.1,2.29,3.78,3.36
April,,,6.58,1.45,3.21,2.45,1.18,3.77,7.83,5.42
May,,,2.83,7.45,6.95,3.91,4.36,6.38,1.19,2.64
June,,,5.15,7.01,4.19,3.64,1.92,3.99,3.74,2.32
July,,,8.46,6.06,3.57,6.13,7.82,5.28,5.9,7.26
August,,,4.99,8.32,1.93,12.74,10.85,4.82,1.27,4.16
September,,,8.99,11.86,4.81,6.58,6.52,6.89,1.74,3.57
October,,,3.65,14.77,4.76,5.17,7.41,7.1,7.87,8.76
November,,,9.23,12.19,3.63,3.58,4.2,1.68,9.19,11.44
December,,,4.01,12.38,11.64,10.06,6.83,6.4,12.28,6.76
Total,,,65.1,98.7,58.49,68.37,72.63,65.14,61.28,70.71
