EXFORD-NORTH-LEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS843386,Long,-3.655043,Lat,51.134948,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,6.11,1.75,8.21,2.3,3.03,,,,,,2.86,7.52,5.95,2.03,7.98,7.9,12.44,8.22,7,5.95,5.78,7.56,9.95,9.22,9.28,1.96,8.96,5.78,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,5.41,1.67,4.81,2.75,3.11,,,,,,6.05,8.65,10.42,1.6,4.57,5.62,3.1,0.37,9.16,12.21,1.05,9.44,4.4,4.83,8.09,1.65,1.48,5.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.19,6.59,3.2,2.38,4.05,,,,,,10.8,1.58,3.81,3.2,2.45,8.65,5.5,6.25,6.19,2.2,2.76,1.2,1.65,6.55,5.75,0.61,3.59,1.28,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.13,2.82,1.48,4.28,2.75,,,,,,3.96,2.4,3.2,3.73,3.98,3.8,8.2,1.81,6.05,4.02,5.38,4.41,3.5,2.74,2.46,0.92,3.57,5.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.01,0.09,3.07,3.73,2.42,,,,,,3.06,1.9,4.02,2.02,1.48,1.3,3.23,3.03,2.12,3.51,5.35,6.01,3.3,1.45,1.16,3.61,2.55,5.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.3,3.07,2.22,5.06,0.75,,,,,,3.48,1.55,3.91,8.87,2.26,2.02,3.32,0.35,1.7,1.13,4.73,0.36,3.33,3.95,4,3.7,1.58,4.35,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,5.01,2.85,1.35,2.82,3.6,,,,,,6.15,5.45,1.57,3.01,7.3,2.31,8.05,2.05,5.95,3.44,6.9,4.34,2.5,4.61,2.71,3.13,5.2,4.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,3.18,6.75,4.28,4.98,4.64,,,,,,4.46,3.1,7.25,11.88,5.2,4.2,2.59,4.17,4.32,5.85,8.93,4.91,4.4,7.82,4.36,5.01,6.82,5.51,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.18,2.02,0.75,1.1,3.55,,,,,,4,2.25,3.46,2.73,11.98,3.75,3.85,3.92,4.4,5.95,8.2,5.73,4.01,9.08,1.76,2.42,7.36,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.37,3.98,8.73,3.53,3.01,,,,,,3.3,6.62,10.5,10.75,4.58,2.15,4.18,3.46,3.03,10.15,7.5,7.25,5.76,5.3,8.64,9.66,7.26,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
