LUDLOW-ASHFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO527704,Long,-2.6955133,Lat,52.32964,Elevation,265,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,3.49,2.44,4.56,2.24,0.76,0.63,3.73,1.94,2.2,2,2.4,4.55,0.6,1.76,0.35,4.69,3.14,1.54,1.18,2.88,,,,,,
February,,,,,2.64,3.51,1.08,0.62,0.66,1.56,0.5,0.04,1.78,3.29,2.3,0.13,0.38,2.01,1.44,3.37,3.84,0.85,1.01,2.2,,,,,,
March,,,,,2.5,1.5,3.23,1.13,2.51,2.32,1.06,1.24,0.58,0.58,2.06,1.6,2.15,2.86,0.54,0.73,1.02,2.48,1.32,4.15,,,,,,
April,,,,,1.2,2.14,1.48,0.8,1.22,4.89,1.34,1.98,0.7,0.22,1.6,2.21,0.83,1.39,1.75,1.93,1,2.1,1.98,1.43,,,,,,
May,,,,,0.63,3.38,,2.07,1.09,3.65,1.81,4.42,2.39,2.77,3.76,0.74,0.24,0.96,3.47,2.27,2.43,0.66,2.43,3.54,,,,,,
June,,,,,2.91,2.72,1.08,1.22,2.02,0.34,1.68,1.91,3.96,1.5,1.85,1.93,1.56,2.26,1.67,1.95,2.12,2.28,2.83,2.87,,,,,,
July,,,,,2.07,0.96,2.54,1.67,5.16,5.09,2.11,1.69,2.47,3.85,4.18,2.07,0.85,0.97,1.04,1.05,1.55,1.65,1.31,2.21,,,,,,
August,,,,,2.25,3.2,1.38,2.83,3.41,2.31,3.32,4.27,3.23,2.28,2.23,3.35,1.59,3.57,1.7,1.03,3.16,1.35,4.56,3.86,,,,,,
September,,,,,1.58,3.34,2.43,1.78,0.78,1.22,1,1.83,1.79,1.42,2.57,0.75,4.74,2.01,1.16,2.02,0.64,1.51,1.19,3.12,,,,,,
October,,,,,1.44,3.61,4.01,2.08,0.93,2.87,1.31,6.43,1.82,2.45,3.26,2.59,2.93,1.5,4.07,3.44,3.8,1.71,2.59,6.32,,,,,,
November,,,,,1.65,3.49,1.94,2.39,6.67,1.04,2.95,2.37,2.09,1.32,3.82,4.4,1.02,1.63,1.95,2.68,2.53,1.05,2.54,1.6,,,,,,
December,,,,,2.55,0.78,4.1,2.69,3.43,1.97,1.13,3.87,1.27,3.85,1.64,2.1,3.69,4.06,3.27,2.05,4.85,5.34,1.66,2.18,,,,,,
Total,,,,,24.91,31.07,,21.52,28.64,27.89,21.94,31.99,24.28,25.53,31.67,26.42,20.58,24.98,22.41,27.21,30.08,22.52,24.6,36.36,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is New House in Ashton Carbonel which has correct relationship to church and also the altitudes match could be +/- 200 yards. Gauge probably started life in Bridge House (SO520710) based on the relatioship to Ashton Bowdler Church and altitude. Gauge moved 296 yards NNE in 1890 (possibly Temeside SO521712) before moving 1130 yards SE to the final location in 1891. The observer is a vicar but the vicarage was built in the early 1900s, therefore not used by the observer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
