"EDINBURGH W.W. (TALLA LINNS FOOT)",,,,,,,,,,,,
Grid ref,NT133203,Long,-3.372951,Lat,55.468820,,,,,,,
Station no,5071,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.50,6.69,2.40,5.01,6.30,3.70,9.50,7.00,3.00,6.20,,
February,5.64,1.68,2.07,6.00,2.80,1.70,6.90,5.40,1.80,9.00,,
March,5.00,4.00,0.85,5.00,3.00,2.70,5.10,2.40,5.50,3.00,,
April,5.42,3.89,5.15,1.05,1.80,0.80,2.40,2.00,6.10,7.00,,
May,3.00,2.93,4.50,7.05,4.10,3.02,2.80,4.30,2.30,3.60,,
June,2.72,3.48,2.85,4.09,3.00,3.60,2.40,4.00,3.70,3.50,,
July,4.10,3.48,8.30,4.53,2.50,5.30,5.80,6.00,5.50,4.50,,
August,8.34,5.42,4.03,6.54,1.90,9.80,6.30,7.50,1.80,5.50,,
September,6.12,2.73,6.05,7.05,4.00,6.20,4.30,5.90,1.70,4.60,,
October,0.73,7.23,4.53,11.10,4.10,4.30,5.20,4.50,6.30,6.00,,
November,13.68,4.52,7.06,14.30,3.70,2.20,3.20,1.30,14.50,11.30,,
December,10.18,5.40,4.99,6.52,6.61,9.50,7.00,7.50,10.60,6.20,,
Total,71.43,51.45,52.78,78.24,43.81,52.82,60.90,57.80,62.80,70.40,,
Calc annual,71.43,51.45,52.78,78.24,43.81,52.82,60.90,57.80,62.80,70.40,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
