"TALLA LINNSFOOT EDINBURGH WW NO 6A",,,,,,,,,,,,
Grid ref,NT135204,Long,-3.369819,Lat,55.469753,,,,,,,
Station no,5071,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.85,3.48,5.75,10.17,6.83,2.73,8.42,2.36,5.79,6.85,,
February,5.28,2.28,2.26,11.35,4.50,3.43,4.20,4.02,3.06,2.47,,
March,0.98,4.04,3.47,18.66,5.08,9.19,3.58,4.88,9.29,7.51,,
April,4.59,6.42,4.76,1.83,6.00,4.48,2.14,3.90,2.41,4.42,,
May,6.20,3.02,3.17,4.04,4.13,3.17,7.47,6.71,3.02,3.13,,
June,6.23,5.13,1.51,2.46,4.68,2.54,2.69,6.19,4.10,3.03,,
July,3.87,1.44,3.45,5.41,4.73,3.71,3.31,4.40,3.49,6.39,,
August,6.64,7.09,2.92,7.93,6.42,6.39,8.84,6.39,5.64,3.47,,
September,4.44,6.48,4.19,4.77,4.20,3.13,1.43,0.90,7.42,3.14,,
October,6.73,6.44,3.66,13.96,3.16,4.27,9.51,11.11,2.53,12.35,,
November,7.10,4.98,6.30,4.48,2.63,8.11,5.52,4.98,4.24,2.65,,
December,12.03,5.56,9.63,5.91,5.28,4.41,3.37,7.25,3.63,6.42,,
Total,70.94,56.36,51.07,90.97,57.64,55.56,60.48,63.09,54.62,61.83,,
Calc annual,70.94,56.36,51.07,90.97,57.64,55.56,60.48,63.09,54.62,61.83,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
