BIDSTON-THE-WOODLANDS,,,,,,,,,,
Grid ref,SJ284893,Long,-3.0782196,Lat,53.395654,Elevation,90,ft.,,
Station no,2789/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.07,2.73,3.33,4.68
February,,,,,,,1.9,4.65,0.26,1.64
March,,,,,,,2.1,1.56,1.2,1.61
April,,,,,,,0.44,0.56,2.84,1.02
May,,,,,,,1.47,2.62,2.11,2.38
June,,,,,,,1.29,4.95,2.99,0.76
July,,,,,,,4.86,3.85,3.29,3.42
August,,,,,,,3.54,4.71,1.77,3.16
September,,,,,,1.53,6.1,5.4,0.33,3.67
October,,,,,,2.28,2.94,3.47,3.02,3.47
November,,,,,,1.58,1.45,2.04,4.56,6.08
December,,,,,,2.25,2.74,3.7,4.6,2.91
Total,,,,,,,29.9,40.24,30.3,34.8
,,,,,,,,,,
NGR is from the 1950s record and matches the relationship to the church and station. Altitudes match.,,,,,,,,,,
MIDAS src_id 11757 ends 1970,,,,,,,,,,
