KINBRACE (THE HATCHERY),,,,,,,,,,
Grid ref,NC872285,Long,-3.9225,Lat,58.230746,Elevation,341,ft,,
Station no,5800/8/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.45,5.28,4.83,5.1
February,,,,,,,2.97,4.09,0.77,4.32
March,,,,,,,3.23,5.05,1.45,1.6
April,,,,,,1.9,1.26,5.2,2.67,3.51
May,,,,,,1.5,1.39,9.2,1.59,1.47
June,,,,,,2.21,2.63,3.05,1.08,0.39
July,,,,,,6.02,3.85,2.15,2.57,3.38
August,,,,,,5.03,2.43,3.52,1.8,5.03
September,,,,,,2.2,2.88,1.55,1.39,2.22
October,,,,,,3.2,2.13,3.4,5.25,5.27
November,,,,,,2.69,2.3,1.35,7.13,3.63
December,,,,,,3.7,6.05,5.75,4.8,5.16
Total,,,,,,,34.57,49.59,35.33,41.08
,,,,,,,,,,
1956 -999 Deleted,,,,,,,,,,
1960 Feb Est,,,,,,,,,,
,,,,,,,,,,
Station no,5800/8/3,,,,,,,,,
Midas,48,,,,,,,,,
Hyd Stn,773651,,,,,,,,,
