CRANMORE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST681437,Long,-2.457864,Lat,51.191625,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.35,4.56,3.58,1.3,1.09,4.01,2.94,2.68,2.41,3.42,4.27,1.63,1.63,1.17,6.77,4.96,3.34,2.24,4.7,4.21,1.33,6.7,1.41,3.31,1.98,5.45,2.02,6.33,6.91,1.92,5.85,2.65,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,4.39,1.16,0.8,1.9,3.31,0.89,0.31,2.22,5.65,4.69,0.14,0.64,5.15,4.12,3.15,5.07,1.15,1.48,3.06,5.35,1.52,3.71,2.63,2.27,1.08,5.8,3.95,3.24,1.43,4.29,7.09,6.71,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.22,3.31,3.2,4.04,3.33,2.32,3.81,0.9,0.86,3.33,3.82,5,4.41,0.99,1.02,2.13,2.99,2.83,4.75,2.42,4.87,3.2,1.2,4.08,4.51,1.19,3.49,7.77,4.52,9.27,1.56,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.99,3.71,1.73,2.28,4.25,3.49,0.86,1.79,0.07,2.84,3.05,0.88,3.97,1.97,4.2,2.18,2.98,1.86,3.92,2.49,2.62,1.67,5.36,3.26,3.03,3.68,3.1,0.32,4.16,2.44,1.56,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,4.48,4.12,2.04,1.66,2.19,1.6,3.31,1.33,1.39,2.74,0.41,0.21,1.25,5.55,2.9,2.67,1.49,2.97,3.57,3.69,0.58,5.19,2.97,2.64,1.78,2.35,1.54,2.27,3.32,2.71,4.26,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.59,0.93,1.49,3.19,1.5,3.04,1.39,2.48,1.55,3.35,1.1,2.54,2.95,2.56,0.89,3.91,1.08,4.97,4.72,1.37,2.9,2.33,3.42,0.56,3.47,6.51,3.48,5.09,1.74,2.02,0.91,3.34,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.57,3.3,1.71,7.08,3.63,5.08,3.82,3,5.74,6.23,4.61,1.29,2.23,0.49,1.41,1.13,2.53,2.97,4.2,3.53,1.92,1.48,2.71,3.89,4.33,3.48,0.03,3.8,0.76,5.33,6.15,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.71,1.66,1.99,1.84,4.75,3.29,7.31,4.64,2.07,4.53,4.98,3.03,5.37,2.06,0.49,3.4,2.68,4.57,6.07,3.94,5.64,3.01,3.96,6.6,3.27,5.75,1.74,10.74,1.73,4.42,4.31,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,7.29,2.97,3.51,2.18,2.02,1.98,2.56,4.04,3.46,2.74,0.8,7.8,3.86,1.35,4.25,0.7,2.55,2.14,3.15,2.06,2.43,1.18,1.15,3.25,4.82,0.21,1.6,1,3.62,2.13,2.12,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.37,5.73,2.79,1.78,4.46,2.83,10.09,3.97,3.25,4.25,5.23,3.87,1.83,4.57,3.04,3.62,3.19,3.47,8.84,3.57,2.25,7.64,6.46,2.11,7.83,6.17,5.24,6.1,3.89,3.7,4.86,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
