BRIDGWATER-WEST-NEWTON,,,,,,,,,,
Grid ref,ST289292,Long,-3.015876,Lat,51.05772,Elevation,100,ft,,
Station no,2077/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.9
February,,,,,,,,,,3.08
March,,,,,,,,,,2.17
April,,,,,,,,,,2.6
May,,,,,,,,,,1.75
June,,,,,,,,,,1.09
July,,,,,,,,,1.61,5.47
August,,,,,,,,,1.36,3.34
September,,,,,,,,,0.06,3.18
October,,,,,,,,,3.39,10.11
November,,,,,,,,,4.74,2.63
December,,,,,,,,,5.58,3.38
Total,,,,,,,,,,41.7
,,,,,,,,,,
Company listed as observer was Showerings Ltd a cider maker so gauge likely at fruit farm NGR on sheet in middle of 2 possible farms,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as West Newton SRC_ID 9234,,,,,,,,,,
1959-1974,,,,,,,,,,
