SANDERSTEAD-RED-HOUSE,,,,,,,,,,
Grid ref,TQ331622,Long,-0.090395474,Lat,51.343309,Elevation,320,ft.,,
Station no,RR8550,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.35,0.7,0.84,2.39,4.47,1.13,4.9,1.07,1.52,
February,4.86,1.61,1.13,1.63,3.34,1.02,2.57,1.46,1.1,
March,0.91,2.92,1.71,2.51,1.79,3.34,1.31,0.82,2.89,
April,0.85,1.91,0.67,1.82,1.22,1.65,0.82,3.51,2.39,
May,1.18,1.85,2.39,3.49,2.05,1.07,1.5,1.86,1.99,
June,2.34,1.52,3.79,6.92,0.92,5.62,2.44,1.73,1.61,
July,1.15,1.17,1.25,3.96,1.47,1.65,0.51,0.99,2.94,
August,2.48,1.96,2.8,3.92,1.53,2.58,1.5,2.09,3.63,
September,0.75,1.34,0.69,2.12,1.25,1.96,1.57,0.67,0.83,
October,1.76,3.38,1.79,6.4,2.16,1.26,4.16,3.77,,
November,2.54,0.72,2.14,2.66,1.6,4.16,5,2.56,,
December,2.92,4.54,1.45,2.32,2.91,0.51,2.06,3.22,,
Total,25.09,23.62,20.65,40.14,24.71,25.95,28.34,23.75,,
,,,,,,,,,,
NGR is Red House. Altitudes match,,,,,,,,,,
