BUXTON-WILD-MOOR,,,,,,,,,,
Grid ref,SK029743,Long,-1.957981,Lat,53.265688,Elevation,1140,ft.,,
Station no,2643/2/2,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.95,5.05,2.8,4.82,2.76,4.58,5.6,5.6,,
February,4.92,0.4,4.99,0.25,6.28,3.81,6.4,1.75,,
March,0.54,3.26,3.75,3.92,1.71,2.18,3.05,1.15,,
April,5.65,4.9,1.87,2.85,3.94,1.76,4.05,0.6,,
May,3.28,5.54,1.95,2.96,0.66,0.45,2.45,4,,
June,6.21,1.14,4.24,1.59,4.95,4.18,1.45,4.15,,
July,4.53,3.9,3.25,3.47,1.53,6.53,3.7,5.3,,
August,7.19,1.74,1.05,3.53,2.34,1.91,1.2,2.3,,
September,4.65,3.91,0.81,4.32,6.82,5.47,1.25,2.5,,
October,2.17,7.8,6.31,5.33,8.05,5.02,2.9,6.4,,
November,7.74,3.87,2.86,2.11,7.05,5.48,2.25,,,
December,1.69,2,0.44,8.45,4.33,4.47,4.05,6.73,,
Total,54.52,43.51,34.32,43.6,50.42,45.84,38.35,,,
,,,,,,,,,,
NGR is on Wild Moor at stated altitude and relationships to church and station.,,,,,,,,,,
NGR could be +/- 300m,,,,,,,,,,
