DARTMOOR-WHITE-TOR-(EARLY_YEARS),,,,,,,,
Grid ref,SX615785,Long,-3.9577,Lat,50.5905,Elevation,1640,ft
Station no,1711,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,
January,,,,-999,-999,-999,-999,
February,,,,-999,-999,-999,-999,
March,,,,-999,-999,-999,-999,
April,,,,-999,-999,-999,-999,
May,,,,-999,-999,-999,-999,
June,,,,-999,-999,-999,-999,
July,,,,-999,-999,-999,-999,
August,,,,-999,-999,-999,-999,
September,,,,-999,-999,-999,1.48,
October,,,,-999,-999,-999,7.8,
November,,,,0.1,-999,-999,4.25,
December,,,,11.7,-999,-999,4.5,
Total,,,49.4,64.8,50.25,40.85,45.83,
,,,,,,,,
,,,,,,,,
In the early years the gauge was rarely read. Although there were attempts to split them into months from referencing the Cowsic Valley station I am quoting the values as originally given,,,,,,,,
"The values in 1903 are not bracketed, but are similar to the readings which are bracketed, so given as such",,,,,,,,
,,,,,,,,
1902 total received Feb 1923 ,,,,,,,,
,,,,,,,,
1903 Jan-Mar value 17.4,,,,,,,,
          Apr-May value 5.4,,,,,,,,
         June-Aug value 11.5,,,,,,,,
         Sept-Oct value 18.70,,,,,,,,
1904 Jan-Mar value 17.7,,,,,,,,
          Apr-July value 14.1,,,,,,,,
          Aug-Oct value 9.85,,,,,,,,
          Nov-Dec value 8.6,,,,,,,,
1905 Jan-Apr value 15.95,,,,,,,,
          May-Aug value 11.2,,,,,,,,
          Sept-Dec value 13.7,,,,,,,,
1906 Jan-Mar 15.80,,,,,,,,
         Apr_Aug 12.00,,,,,,,,
,,,,,,,,
Annual values rejected from survey map 1929,,,,,,,,
,,,,,,,,
"Actual location of gauge not known - judged to be on same side of moor as its New Location which is known, and this is near the trail",,,,,,,,
