WANTAGE-OBSERVER-DAVEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU398875,Long,-1.4269594,Lat,51.584958,Elevation,320,ft.,,,,,,,,,,,,
Station no,RR1739,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,3.16,4.01,2.87,3.31,3.66,1.43,1.77,4.72,3.43,2.26,3.88,1.81,4.27,1.24,
February,,,,,,1.91,3.34,1.51,1.61,2.46,1.85,1.03,1.51,0.92,1.68,1.88,1.93,1.42,1.43,
March,,,,,,1.01,2.04,3.11,1.45,1.54,1.42,1.04,2.17,2.28,0.61,1.05,3.53,1.82,1.02,
April,,,,,,0.62,1.85,2.07,2.06,1.46,0.56,2.87,2.33,0.72,1.3,1.3,2.97,2.64,3.22,
May,,,,,,2.29,0.83,2.09,0.68,3.45,1.15,0.55,2.72,1.93,2.32,2.41,1.14,2.63,4.09,
June,,,,,,2.32,3.15,1.75,0.42,1.54,0.09,2.36,2.67,2.08,0.67,2.13,1.71,1.01,3.19,
July,,,,,,2.61,1.58,3.52,1.54,0.55,1.43,4.31,5.33,1.06,0.61,4.98,0.49,2.82,1.37,
August,,,,,,2.74,2.94,1.73,3.65,1.16,1.39,1.39,1.71,1.94,1.48,1.5,2.59,3.29,4.09,
September,,,,,,0.13,5.41,1.46,4.46,3.85,0.69,5.59,1.36,2.2,3.69,2.07,4.72,2.4,1.61,
October,,,,,,6.25,1.62,2.36,2.26,1.22,3.21,1.01,3.2,2.31,3.08,7.89,0.99,1.77,3.23,
November,,,,,,2.66,1.52,0.88,1.35,2.24,1.42,0.35,3.2,1.97,2.5,3.62,3.45,4.06,2.3,
December,,,,,,1.76,1.8,1.24,3.79,3.33,1.84,1.53,5.23,0.38,1.78,0.81,5.57,1.58,1.37,
Total,,,,,,27.46,30.09,24.59,26.58,26.46,16.48,23.8,36.15,21.22,21.98,33.52,30.9,29.71,28.16,32.29
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Newbury Street, where the observer, E C Davey lived and is towards the southern end that gives a better match to the altitude. The observer was a wine merhant so may have been closer to the centre of Wantage which could be 100m to 200m north.",,,,,,,,,,,,,,,,,,,,
