"WAKEFIELD WOOLLEY, W.R. YORKS - observer R. Childe",,,,,,,,,,
Grid ref,SE319130,Long,-1.5192973,Lat,53.612586,Elevation,400,ft,,
Station no,RR2919,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,0.94,,,
February,,,,,,,1.65,,,
March,,,,,,,1.09,,,
April,,,,,,,0.57,,,
May,,,,,,,0.67,,,
June,,,,,,,2.67,,,
July,,,,,,,3.81,,,
August,,,,,,,3.17,,,
September,,,,,,,,,,
October,,,,,,4.19,,,,
November,,,,,,1.72,,,,
December,,,,,,0.5,,,,
Total,,,,,,,,,,
,,,,,,,,,,
"An R Childe was a mining surveyor in the Wakefiled Trade Dirctory of 1886, based in Southgate,Wakefield so is probably the right man.",,,,,,,,,,
"NGR for St Peter's church in Woolley, aprrox right elevation",,,,,,,,,,
