"WORTHING",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,4.66,0.62,,,,,,,,,,
February,0.65,2.01,,,,,,,,,,
March,1.70,2.42,,,,,,,,,,
April,1.82,0.49,,,,,,,,,,
May,3.41,1.60,,,,,,,,,,
June,4.98,1.97,,,,,,,,,,
July,1.84,3.23,,,,,,,,,,
August,3.70,1.04,,,,,,,,,,
September,3.02,3.98,,,,,,,,,,
October,2.45,1.85,,,,,,,,,,
November,2.76,7.63,,,,,,,,,,
December,3.33,2.24,,,,,,,,,,
Total,34.32,29.08,,,,,,,,,,
Calc annual,34.32,29.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
