"KESWICK, BARROW HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,7.17,11.83,10.78,,
February,,,,,,,,7.08,9.42,13.63,,
March,,,,,,,,4.62,10.68,1.07,,
April,,,,,,,,9.01,5.09,2.93,,
May,,,,,,,,3.49,3.55,2.56,,
June,,,,,,,,1.91,1.65,2.34,,
July,,,,,,,,4.45,0.87,2.62,,
August,,,,,,,,3.30,7.90,2.55,,
September,,,,,,,,6.09,2.69,15.27,,
October,,,,,,,,8.44,9.63,4.77,,
November,,,,,,,,1.15,5.25,11.00,,
December,,,,,,,,4.94,16.04,13.91,,
Total,,,,,,,,61.65,84.60,83.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.65,84.60,83.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
