"STROMA",,,,,,,,,,,,
Grid ref,ND355794,Long,-3.114644,Lat,58.697530,,,,,,,
Station no,5817,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.24,2.00,4.21,5.31,1.66,4.16,3.05,2.80,2.90,2.83,,
February,4.18,2.23,2.72,3.90,1.38,0.76,1.68,2.85,0.40,2.99,,
March,3.46,3.74,0.85,4.13,2.25,1.20,3.33,2.04,0.52,0.57,,
April,4.49,0.81,3.58,2.01,1.30,1.33,1.06,0.95,1.16,0.57,,
May,0.33,2.25,3.65,1.19,0.89,0.93,0.85,1.50,0.55,0.39,,
June,1.58,2.44,1.52,1.14,0.26,1.77,1.83,0.99,0.08,0.45,,
July,3.72,2.06,3.81,2.40,0.13,1.98,2.26,1.29,0.16,1.97,,
August,3.54,3.00,2.73,1.50,0.71,1.40,2.43,2.04,1.25,2.91,,
September,1.62,3.71,3.52,4.39,2.12,1.34,1.12,0.79,0.70,1.25,,
October,2.77,3.94,1.96,8.03,2.00,1.96,1.84,3.09,2.79,1.84,,
November,5.11,4.07,4.54,6.17,0.50,3.03,1.66,1.30,1.47,0.92,,
December,3.34,3.69,2.63,4.84,2.27,2.44,2.60,1.29,2.72,4.11,,
Total,38.38,33.94,35.72,45.01,15.47,22.30,23.71,20.93,14.70,20.80,,
Calc annual,38.38,33.94,35.72,45.01,15.47,22.30,23.71,20.93,14.70,20.80,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
