CARDIFF-TOWN-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST181762,Long,-3.1807271,Lat,51.478806,Elevation,20,ft,,,,,,,,,,,,
Station no,RR7459,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.04,5.12,5.69,5.29,3.18,,,,,,,,,
February,,,,,,,4.6,3.88,2.17,4.8,1.87,,,,,,,,,
March,,,,,,,2.3,4.5,2.64,1.7,,,,,,,,,,
April,,,,,,,2,4.38,2.48,1.82,,,,,,,,,,
May,,,,,,,0.98,3.63,1.79,4.92,,,,,,,,,,
June,,,,,,,3.71,0.79,0.47,0.84,,,,,,,,,,
July,,,,,,,3.43,2.97,0.38,0.89,,,,,,,,,,
August,,,,,,,3.65,1.64,5.96,1.38,,,,,,,,,,
September,,,,,,,12.09,1.73,4.41,6.82,,,,,,,,,,
October,,,,,,,3.09,4.7,4.36,3.16,,,,,,,,,,
November,,,,,,,3.34,1.99,1.47,3.68,,,,,,,,,,
December,,,,,,,5.19,1.69,7.95,5.55,,,,,,,,,,
Total,,,,,,,49.42,37.02,39.77,40.85,,,,,,,,,,
