LLANSANTFFRAID (PEN-Y-SAN),,,,,,,,,,,,
Grid ref,SJ209179,Long,-3.173402,Lat,52.752901,,,,,,,
Station no,4254/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.93,3.39,4.81,5.44,,
February,,,,,,,3.29,4.20,0.19,2.74,,
March,,,,,,,1.94,1.07,1.78,1.74,,
April,,,,,,,0.10,0.82,3.10,1.41,,
May,,,,,,,1.86,3.50,1.83,1.57,,
June,,,,,,,1.49,3.88,2.46,1.56,,
July,,,,,,4.05,4.78,5.13,3.28,2.83,,
August,,,,,,4.90,6.79,4.33,1.57,4.68,,
September,,,,,,3.18,6.18,6.10,0.11,3.69,,
October,,,,,,2.03,2.15,2.11,2.90,5.80,,
November,,,,,,0.96,2.10,1.78,3.62,5.64,,
December,,,,,,3.33,1.32,2.98,6.34,4.26,,
Total,,,,,,,34.93,39.29,31.99,41.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.45,34.93,39.29,31.99,41.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
