SUTTON-GRANGE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ257633,Long,-0.19619506,Lat,51.354878,Elevation,230,ft.,,,,,,,,,,,,
Station no,RR8410,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.08,3.02,,1.86,3.66,1.92,0.87,1.08,2.29,1.78,,,,,,,,
February,,,1.17,3.29,2.27,2.72,0.37,0.48,1.07,2.27,0.94,0.05,,,,,,,,
March,,,1.52,1.36,1.52,1.74,1.06,1.8,2.84,1.6,1.83,2.34,,,,,,,,
April,,,4.08,1.54,1.62,2.05,1.45,1.55,1.66,1.97,1.71,0.7,,,,,,,,
May,,,1.69,2.6,0.89,3.7,5.05,1.55,0.64,3.16,1.63,3.2,,,,,,,,
June,,,2.49,1.12,1.29,1.91,0.75,1.04,2.14,0.87,3.31,1.6,,,,,,,,
July,,,2.83,2.66,1.2,0.46,2.44,1.37,6.17,2.65,4.46,2.91,,,,,,,,
August,,,1.05,0.42,1.1,1.33,1.19,3.21,2.47,2,2,4.38,,,,,,,,
September,,,2.98,3.34,2.28,5.36,1.61,1.86,1.07,1.09,0.82,0.98,,,,,,,,
October,,,6.54,1.85,1.58,3.29,2.35,1.76,1.31,4.09,1.11,4.94,,,,,,,,
November,,,2.42,4.06,1.54,2.61,2.98,3.85,3.85,0.75,1.7,2.59,,,,,,,,
December,,,2.18,0.6,2.53,1.24,4.38,1.42,1.54,1.27,0.84,3.17,,,,,,,,
Total,,,30.03,25.86,,28.27,27.29,21.81,25.63,22.8,22.64,28.64,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Grange Road at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"Cannot find the 1880s observer, W Thurtell.",,,,,,,,,,,,,,,,,,,,
"The 1890s observer, F C Bayard, is involved with the Meteorological Society and is named observer on many records in Surrey.",,,,,,,,,,,,,,,,,,,,
NGR could be up to 600 m W,,,,,,,,,,,,,,,,,,,,
