CROYDON-DUPPAS-HOUSE-(HAVELOCK-ROAD),,,,,,,,
Grid ref,TQ339660,Long,-0.07721,Lat,51.37754,Elevation,205,ft
Station no,RR8083,,,,,,,
,,,,,,,,
,1890,1891,1892,,,,,
January,2.59,2.1,0.56,,,,,
February,0.95,0.06,1.66,,,,,
March,2.43,2.24,1.57,,,,,
April,2.08,0.67,1.37,,,,,
May,1.65,2.93,1.35,,,,,
June,2.39,1.38,2.75,,,,,
July,4.52,3.77,2.38,,,,,
August,2.54,4.51,3.52,,,,,
September,0.53,0.74,2.02,,,,,
October,1.18,6.01,4.23,,,,,
November,1.96,2.61,2.42,,,,,
December,0.79,3.53,1.31,,,,,
Total,23.61,30.55,25.14,,,,,
,,,,,,,,
21 Havelock Road ,,,,,,,,
Exact location unknown but elevation puts it about half way along,,,,,,,,
1893 Jan Gauge moved 1.3 miles WSW to Duppas House,,,,,,,,
