HAYFIELD-MILL-HILL-NEW-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK056898,Long,-1.9172326,Lat,53.404991,Elevation,1625,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.46,5.97,5.13,4,8.99,,,,5.45,7.35,7,6.15,,11.56,4.58,4.3,,4.05,2.75,4.96,4.4,7.35,2.8,,,
February,,,,,7.89,4.6,6.63,1.41,3.12,,,,3.27,,,7.5,,,2.27,6.68,5.25,4.5,3.8,4.69,3.6,2.96,4.1,,,
March,,,,,2.18,4,4.84,1.88,2.62,3.7,5.78,,1.64,1.48,1.72,2.4,,1.11,2,1.93,5.75,2.95,3.25,,,,3.6,,,
April,,,,,3.48,2.03,4.31,0.46,3.55,3.75,1.72,1.5,2.25,2.52,2.3,1.78,3.35,1.83,3.82,3.84,2.75,3.75,2.8,0.9,2.5,2.1,,0.96,,
May,,,,,0.49,1.09,2.95,3.82,2.75,1.05,2.98,3.87,2.75,7.4,3.47,1.7,3.6,,3.26,1.4,1.83,2.8,2.25,2.85,5.6,2.3,1.6,4.15,,
June,,,,,4,3.77,2.25,4,2.8,1,2.53,,3.98,3.5,4.35,4.43,2.59,6.6,1.4,3.35,1.8,2.8,3,2.6,3.75,,,6,,
July,,,,,2.24,6.12,4.25,5.53,7.87,4.82,3.43,6.3,2.66,4.6,2.04,6.5,3.4,2.58,2,3.56,4.3,4.3,6.8,9.2,1.4,,,5.78,,
August,,,,,1.79,2.75,1.12,3,2.14,2.28,6.34,3.88,6.05,4.36,3.25,5.27,0.23,5.8,,4.38,6.7,2.9,4.65,6.7,1.1,,7.2,4.55,,
September,,,,,6.18,6.72,1.35,3.58,1.57,3.98,0.77,3.6,5.5,6,2.9,6,1.9,2.82,1.7,7.3,,6.6,2.55,5.8,2.75,6.25,,5.75,,
October,,,,,7.05,4.35,2.6,6.95,3.9,3.86,6.7,7.22,3.12,,6.9,1,1.06,3.24,,2.75,1,4.8,2.65,8.45,3.2,3.8,5.8,4.7,,
November,,,,,5.77,5.7,2.22,4.23,6.52,8.19,3.44,1.57,3.81,,0.74,6.66,5.76,3.04,6.08,6.47,9.1,3.5,3.65,7.15,2.15,2.8,,,,
December,,,,,5.65,5.22,4.88,6.75,2.85,4.75,3,3.87,2.12,2.91,3.17,4.84,5.9,4.08,8.47,4.7,6.62,6.2,2.5,8.2,,,5.2,4.5,,
Total,,,,,50.18,52.32,42.53,45.61,48.68,,,,42.6,,,54.23,,,,50.66,,49.15,40.65,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is WSW of Mill Hill as indicated on the record. NGR might be 200 to 300m N to be at the head of Hollingsworth Clough, which is noted on the record. Gauge is stated as being 670 yards WSW of old site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
