"HAYFIELD (MILL HILL)",,,,,,,,,,,,
Grid ref,SK056898,Long,-1.917233,Lat,53.404991,,,,,,,
Station no,2643/9/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.65,4.05,2.75,4.96,4.40,7.35,2.80,4.90,,,,
February,5.25,4.50,3.80,4.69,3.60,2.96,4.10,8.40,,,,
March,5.75,2.95,3.25,3.70,4.30,2.20,3.60,2.80,,,,
April,2.75,3.75,2.80,0.90,2.50,2.10,0.60,0.96,,,,
May,1.83,2.80,2.25,2.85,5.60,2.30,1.60,4.15,,,,
June,1.80,2.80,3.00,2.60,3.75,4.20,2.10,6.00,,,,
July,4.30,4.30,6.80,9.20,1.40,6.30,6.10,5.78,,,,
August,6.70,2.90,4.65,6.70,1.10,12.50,7.20,4.55,,,,
September,3.20,6.60,2.55,5.80,2.75,6.25,9.10,5.75,,,,
October,1.00,4.80,2.65,8.45,3.20,3.80,5.80,4.70,,,,
November,9.10,3.50,3.65,7.15,2.15,2.80,3.30,2.50,,,,
December,6.62,6.20,2.50,8.20,6.00,7.35,5.20,4.50,,,,
Total,54.95,49.15,40.65,65.20,40.75,60.11,51.50,54.99,,,,
Calc annual,54.95,49.15,40.65,65.20,40.75,60.11,51.50,54.99,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
