TUNBRIDGE-WELLS-SHERWOOD-PARK,,,,,,,,,,
Grid ref,TQ603404,Long,0.2900718,Lat,51.140431,Elevation,494,ft,,
Station no,332,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.51,1.68,2.71,,,,,,
February,,3.22,1.37,4.66,,,,,,
March,0.46,2.5,2.01,1.11,,,,,,
April,1.59,0.38,3.58,1.71,,,,,,
May,0,1.2,1.11,2.21,,,,,,
June,4.43,2.43,2.7,2.39,,,,,,
July,2.56,0.43,3.19,1.85,,,,,,
August,2.11,5.05,1.98,0.73,,,,,,
September,2.94,2.65,3.56,3.89,,,,,,
October,7.28,2.98,6.44,2.97,,,,,,
November,4.05,4.33,3.76,3.94,,,,,,
December,3.05,3.46,3.22,0.94,,,,,,
Total,,30.14,34.6,29.11,,,,,,
