ABERDARE-TREHERBERT-TY-DRAW,,,,,,,,,,,,,,,,,,,,
Grid ref,SS920990,Long,-3.5634464,Lat,51.679346,Elevation,735,ft,,,,,,,,,,,,
Station no,RR7452,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,7.4,,9.83,6.11,2,1.91,10.94,,,,,,,
February,,,,,,,16.61,11.29,8.09,9.76,11.48,12.4,8.63,,,,,,,
March,,,,,,,8.95,,5.33,4.93,6.61,10.6,10.37,,,,,,,
April,,,,,,,7.34,5.59,5.22,3.71,4.26,3.7,9.43,,,,,,,
May,,,,,,,1.09,4.19,11.2,5.42,3.48,7.61,4.79,,,,,,,
June,,,,,,,6.58,5.96,6.61,13.6,3.63,8.64,9.15,,,,,,,
July,,,,,,9.97,6.11,10.3,2.62,9.14,13.97,4.69,15,,,,,,,
August,,,,,,11.97,9.34,13.5,11.8,3.4,1.36,12.71,9.2,,,,,,,
September,,,,,,9.8,13.02,7.34,6.65,9.85,6.65,4.44,7.89,,,,,,,
October,,,,,,14.24,9.61,12.53,11.19,1.72,7.4,7.27,11.32,,,,,,,
November,,,,,,13.42,8.23,17.43,7.32,0.76,12.97,15.76,14.18,,,,,,,
December,,,,,,7.17,18.18,8.16,5.65,8.42,10.98,9.1,18.03,,,,,,,
Total,,,,,,,112.46,,91.51,76.82,84.79,98.83,128.93,,,,,,,
