"PULBOROUGH (CODMORE HILL)",,,,,,,,,,,,
Grid ref,TQ056201,Long,-0.497405,Lat,50.970647,,,,,,,
Station no,453,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.24,2.55,1.26,,,,,,,,,
February,6.36,0.82,1.34,,,,,,,,,
March,3.59,2.43,0.28,,,,,,,,,
April,2.20,2.47,2.23,,,,,,,,,
May,2.62,2.63,1.73,,,,,,,,,
June,2.15,1.35,1.55,,,,,,,,,
July,2.14,0.71,3.09,,,,,,,,,
August,5.19,1.95,1.99,,,,,,,,,
September,2.92,3.00,3.99,,,,,,,,,
October,1.33,4.19,3.87,,,,,,,,,
November,7.05,3.75,1.73,,,,,,,,,
December,3.71,3.16,1.01,,,,,,,,,
Total,43.50,29.01,24.07,,,,,,,,,
Calc annual,43.50,29.01,24.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
