TIRRIL,,,,,,,,,,
Grid ref,NY503266,Long,-2.7714168,Lat,54.632068,Elevation,550,ft,,
Station no,RR6081,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,3.9,,,,
February,,,,,,2.87,,,,
March,,,,,,2.08,,,,
April,,,,,,2.75,,,,
May,,,,,,0.85,,,,
June,,,,,,3.17,,,,
July,,,,,,2.17,,,,
August,,,,,,4.22,,,,
September,,,,,,3.18,,,,
October,,,,,,4.83,,,,
November,,,,,,5.3,,,,
December,,,,,,4.68,,,,
Total,,,,,,40,,,,
,,,,,,,,,,
Small hamlet even now;,,,,,,,,,,
NGR for centre of village as no locational information on the record,,,,,,,,,,
