"MOVILLE, DONEGAL - Rev. Smith",,,,,,,,,
Grid ref,IC616386,Long,-7.034,Lat,55.191,Elevation,100,ft,
Station no,RR3211,,,,,,,,
,,,,,,,,,
,1869,1870,1871,1872,1873,1874,1875,1876,1877
January,,3.18,5.25,6.69,4.11,3.42,4.32,2.72,6.37
February,,1.82,2.60,2.79,1.45,2.44,1.37,4.92,5.88
March,,1.27,3.32,3.68,2.38,3.38,2.00,6.23,3.61
April,2.55,2.18,4.82,4.10,0.90,2.63,0.83,2.60,1.52
May,2.82,2.95,1.39,3.26,3.67,1.89,2.49,0.90,2.20
June,2.50,2.54,1.96,4.77,1.62,1.64,3.47,2.48,2.93
July,2.48,2.14,6.17,2.39,4.60,4.01,2.22,3.04,6.11
August,2.27,2.28,2.61,4.77,5.90,4.48,3.92,3.95,5.07
September,5.54,4.70,3.33,9.28,4.59,4.84,4.98,5.20,3.15
October,3.76,9.98,3.23,5.30,7.30,5.86,5.41,5.54,5.79
November,8.14,3.25,3.62,6.68,2.68,4.95,7.06,3.54,6.95
December,6.55,3.55,2.83,3.80,2.99,4.86,3.02,5.77,5.95
Total,,39.84,41.13,57.51,42.19,44.40,41.09,46.89,55.53
,,,,,,,,,
TYRain_1860-1869_08_pt2/155,,,,,,,,,
TYRain_1870-1879_13_pt3/078,,,,,,,,,
,,,,,,,,,
# No detailed location in Moville is given. The grid reference provided is in the vicinity of St Columb's church.,,,,,,,,,
#,,,,,,,,,
# Observer Rev. Francis Smith moved to Moville from Londonderry in 1869.,,,,,,,,,
#,,,,,,,,,
"# These readings, and those from Londonderry, are duplicated on rainfall sheets labelled as 'Stratford on Avon', also attributed to Rev. Smith.",,,,,,,,,
"# British Rainfall almanacs for the period attribute the readings to Rev. Smith at Londonderry/Moville, with nothing to match at Stratford on Avon.",,,,,,,,,
"# Rev. Smith was in the Londonderry/Moville area at this time, so the 'Stratford on Avon' rainfall sheets should almost certainly be disregarded.",,,,,,,,,
