CONCLOG,,,,,,,,,,
Grid ref,SH669466,Long,-3.9848055,Lat,53.000131,Elevation,1100,ft.,,
Station no,4336/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,15.8,16.7,5.7,13.5,11.5,8.55,33.95,12.5,10.4,12.1
February,10.75,2.9,16.2,12.5,4.3,1.8,7.65,19.8,7.3,
March,12.4,17.5,5.9,11.3,2.75,6.15,21.75,3.1,10.1,
April,10.7,10.75,9.2,6.45,15.85,3.4,3.1,13.93,10.2,
May,2.3,4,8.7,7.6,12.1,9.5,6.95,15.6,2.15,
June,6.9,15.7,7.75,16.4,19.45,7.25,5.5,8.7,6.4,
July,3.5,7.1,22,22.1,4.8,15.5,21.7,13.5,10.2,
August,18,11.8,11.7,19.4,4.25,24.2,12.1,12.7,4.3,
September,21.55,12,14.8,19.9,13.1,13.1,21.7,19.85,1.95,
October,3.6,18.9,8.9,38.6,9.5,14.7,25.4,10.5,16.5,
November,15.95,7.3,21.8,21.1,4.05,4.75,5.45,8.3,15.9,
December,29.5,13.7,7.6,22.23,24.6,18.1,15.3,10.1,29.9,
Total,150.95,138.35,140.25,211.08,126.25,127,180.55,148.58,125.3,
,,,,,,,,,,
NGR is Conclog Quarry. Altitude taken from OS maps.,,,,,,,,,,
