REETH ESKELETH HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6016,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,8.11,1.50,7.27,4.53,0.95,,
February,,,,,,1.70,6.08,3.56,1.60,4.41,,
March,,,,,,1.20,6.07,6.05,2.06,3.13,,
April,,,,,,1.76,3.53,4.70,3.04,2.95,,
May,,,,,,1.95,1.25,3.53,5.93,1.93,,
June,,,,,,2.95,3.00,1.83,2.85,4.61,,
July,,,,,,5.46,1.78,6.78,1.13,4.52,,
August,,,,,,3.62,2.60,8.12,7.41,4.91,,
September,,,,,,4.95,5.45,3.67,3.86,2.26,,
October,,,,,,6.33,3.00,6.18,3.88,1.73,,
November,,,,,,7.33,4.96,7.58,6.94,3.06,,
December,,,,,,3.93,11.44,3.60,4.87,3.59,,
Total,,,,,,49.29,50.66,62.87,48.10,38.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,49.29,50.66,62.87,48.10,38.05,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
