YEOVIL-WEST-COKER (West Coker Mill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST511135,Long,-2.6962,Lat,50.9197,Elevation,265,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.27,4.69,4.96,0.7,2.77,0.96,0.59,3.65,5.09,4.6,2.77,4.21,1.62,3.41,2.99,3.28,3.21,4.07,1.55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.27,3.21,1.01,4.5,5.59,5.61,1.19,1.37,2.59,0.72,0.33,2.3,7.05,0.66,3.91,1.66,3.9,1.94,1.08,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.22,5.67,2.8,4.01,0.48,2.77,2.39,1.04,4.4,2.78,2.09,2.47,1.39,1.37,0.75,0.55,3.65,2.22,0.29,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.17,0.15,3.5,1.04,1.25,0.5,1.83,1.84,2.27,4.28,0.95,2.54,1.74,2.88,2,2.11,1.21,1.13,0.9,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.58,1.47,2.31,1.59,2.25,2.69,1.9,1.21,0.65,1.9,2.11,0.48,1.57,4.81,4.27,2.33,1.06,1.86,2.53,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.13,4.16,0.62,4.04,1.58,0.98,3.01,0.94,0.78,1.51,0.5,0.61,0.38,3.04,0.04,2.41,2.39,2.6,2.08,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.14,2.28,0.55,3.31,4.26,0.9,2.82,5.01,3.11,4.58,0.79,4.54,0.8,3.41,2.36,3.51,3.58,1.69,1.28,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.02,6.11,2.19,2.72,1.54,6.1,4.76,2.07,3.5,1.92,1.57,4.18,2.02,2.96,3.24,1.17,3.27,1.95,1.22,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1,1.14,2.67,1.46,1.45,2.61,1.7,5.25,1.95,1.61,0.59,1.92,3.01,4.96,3.37,0.61,5.02,1.42,0.78,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.67,4.49,4.16,2.7,4.64,6.29,3.26,1.98,1.8,2.3,1.08,1.44,5.13,5.25,3.97,3.54,2.7,6.14,4.96,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
