LOCH QUOICH (KINLOCHQUOICH),,,,,,,,,,
Grid ref,NG 96014 00709,Long,-5.364932,Lat,57.052157,Elevation,713,ft,,
Station no,5709,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,8.63,11.85,,14,6.12,8.29
February,,,,,6.19,10.08,,9.94,13.1,7.32
March,,,,8.32,2.63,6,13,6.7,11.1,4.95
April,,,,4.82,8.56,10.25,5.3,9,8.86,14.45
May,,,,5.19,6.41,13.6,3.13,11,3.56,4.24
June,,,,9.98,7.4,6.8,7.57,2.5,12.75,7.21
July,,,,10.1,1.96,9.9,10.56,4,14.1,6.46
August,,,,10.48,3.69,8,13.25,7.4,13.12,7.63
September,,,,16.77,18.01,10.3,16.06,7.61,5.49,8.53
October,,,,23.08,19.45,17.8,24.05,17,18.22,1.77
November,,,,17.72,,22.75,7.51,3.64,13.51,12
December,,,,30.88,,25.6,26,10.63,15.73,15.49
Total,,,,,,152.93,,103.42,135.66,98.34
,,,,,,,,,,
"1955 Nov, Dec +T deleted estimated",,,,,,,,,,
1957 J F +T deleted estimated,,,,,,,,,,
