EDINBURGH - Observer Grady,,,,,,,,,,
Grid ref,NT262743,Long,-3.1835342,Lat,-3.1835342,Elevation,197,ft,,
Station no,RR2096,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.54,2.29,1,1.23,
February,,,,,,0.8,2,0.37,1.01,
March,,,,,,0.94,0.11,1.56,0.48,
April,,,,,,0.36,1.56,2.11,0.74,
May,,,,,,1.45,2.61,1.58,1.07,
June,,,,,,2.59,3.12,3.61,,
July,,,,,,2.87,1.81,1.54,,
August,,,,,,3.39,3.22,2.08,,
September,,,,,,0.29,4.66,4.33,,
October,,,,,2.04,2.42,0.55,1.08,,
November,,,,,2.7,1.24,0.47,1.86,,
December,,,,,1.56,0.97,2.63,1.39,,
Total,,,,,,17.86,25.03,22.51,,
,,,,,,,,,,
TYRain_1850-1859_H_pt1-page-110.csv,,,,,,,,,,
No C O Grady in Edinburgh in 1861 census who is a sensible option for the observer.,,,,,,,,,,
Gauge also on a building at 67' above the ground,,,,,,,,,,
Highly speculative NGR for northern end of Calton Hill with annual values for 1855-7 being similar to those for his other gauge at a higher elevantion,,,,,,,,,,
,,,,,,,,,,
TYRain_1850-1859_H_pt1-page-110.csv,,,,,,,,,,
