KIELDER,,,,,,,,,,
Grid ref,NY626935,Long,-2.5896237,Lat,55.234281,Elevation,673,ft,,
Station no,RR8702,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.24,6.6,11.21,,,,,,
February,,3.62,4.93,1.3,,,,,,
March,,2.98,4.07,2.3,,,,,,
April,,4.15,3.85,0.78,,,,,,
May,,1.53,3.62,2.38,,,,,,
June,,2.46,4.44,2.4,,,,,,
July,,5.26,6.88,4.44,,,,,,
August,,3.16,4.6,4.5,,,,,,
September,,2.72,4.73,3.6,,,,,,
October,,4.35,7.39,5.57,,,,,,
November,,4.04,6.8,3.86,,,,,,
December,,7.16,6.76,3.4,,,,,,
Total,,43.67,64.67,45.74,,,,,,
