SALCOMBE-PRAWLE-POINT,,,,,,,,,,,,,,,,,,,,
Grid ref,SX782361,Long,-3.7079,Lat,50.2127,Elevation,350,ft,,,,,,,,,,,,
Station no,RR2761,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,1.02,0.85,1.8,2.29,3.27,1.92,5.63,2.7,1.83,1.04,3.9,2.05,0.97,2.36,2.14,2.79,1.37,2.58,1.25,4.71
February,2.19,2.79,1.44,2.59,2.74,2.75,0.72,0.53,0.94,2.43,0.8,0.02,1.41,3.87,2.27,0.06,0.39,4.37,2.32,3.68
March,2.13,1.82,1.52,1.52,2.02,0.7,2.81,0.98,2.38,2.41,1.34,5.1,0.67,0.18,1.59,2.64,3.82,4.9,1.88,0.6
April,1.68,1.09,4.39,0.55,1.4,1.75,1.8,1.05,1.34,1.16,2.82,0.87,1.42,0.79,1.53,1.77,0.29,4.44,1.32,2.65
May,0.53,0.67,1.29,2.54,1.23,1.67,2.25,1.77,1.41,1.7,1.66,1.55,0.66,0.8,2.15,0.32,0.04,1.82,3.94,2.89
June,1.16,2.19,2.76,1.85,0.94,1.73,0.79,0.51,2.56,0.41,2.84,2.49,0.74,0.73,2.23,1.44,1.8,2.82,1.74,1.02
July,2.06,2.07,2.4,1.86,2.27,0.46,3.25,1.1,3.27,3.7,2.41,2.84,1.37,4.89,4.37,2.21,1.18,1.35,0.39,
August,0.66,3.46,2.15,0.93,1.47,0.87,1.28,1.19,1.62,2.28,3.35,4.31,1.75,1.63,3.46,2.54,1.35,4.2,2.28,
September,1.91,1.76,3.89,3.18,1.58,3.01,2.11,2.39,1.33,1.06,0.61,2.17,3.86,1.81,2.54,0.54,4.64,2.49,0.72,
October,6.05,1.94,7.94,1.9,1.3,5,7.2,2.14,2.26,6.59,1.31,5.91,2.97,3.28,5.76,5.57,3.5,1.12,4.1,
November,3.2,3.63,5.23,4.4,1.45,3.54,2.65,3.17,6.03,1.23,2.68,1.93,2.85,1.49,5.87,5.77,0.99,1.78,3.9,
December,5.28,3.44,4.5,1.42,5.23,1.62,5.39,2.78,2.01,2.93,5.45,4.61,2.28,2.67,2.76,6.71,5.83,5.2,3.53,
Total,27.87,25.71,39.31,25.03,24.9,25.02,35.88,20.31,26.98,26.94,29.17,33.85,20.95,24.5,36.67,32.36,25.2,37.07,27.37,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Met Office library says started in 1879 but I cannot find an earlier record,,,,,,,,,,,,,,,,,,,,
"Unknown location, but NGR is given for Coastguard Station as at the correct elevation",,,,,,,,,,,,,,,,,,,,
