FARLINGTON-FILTER-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU679061,Long,-1.03683,Lat,50.850443,Elevation,157,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.9,3.39,4.26,0.57,4.64,1.01,1.31,3.15,5.36,3.53,3.35,4.61,1.55,2.85,3.71,3.82,2.2,4.72,1.31,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.68,2.05,1.37,3.76,4.67,3.65,1.07,1.14,2.5,0.57,0.41,2.83,4.81,0.39,4.53,1.84,3.9,1.82,1.17,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.6,3.73,2.65,4.15,0.86,2.97,2.38,0.82,4.52,2.29,1.04,1.8,1.69,1.31,0.4,0.51,2.55,1.95,0.13,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.03,0.07,2.6,1.29,1.13,0.78,1.45,1.96,1.66,2.41,0.93,3.21,3.06,2.63,2.7,2.51,1.8,1.62,0.8,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.96,1.24,2.89,0.98,3.65,1.56,2.29,1.2,0.51,1.26,1.25,0.74,2.53,3.02,3.61,1.91,0.88,1.47,2.06,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.66,3.22,0.38,1.61,1.15,1.86,3.04,0.81,0.66,2.22,0.06,1.62,0.41,3.29,0,2.41,2.63,2.13,1.49,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.85,1.93,1.6,3.34,2.6,0.8,2.54,2.74,1.07,5.34,0.29,3.19,0.72,2.67,3.2,1.46,2.63,1.58,1.94,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.04,7.59,2.09,1.49,1.29,2.04,4.83,2.25,2.59,1.43,2.15,3.13,1.98,2.62,4.57,1.33,2.77,2.33,1.7,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.15,1.25,2.55,2.93,1.31,2.55,2.3,1.27,5.31,1.7,1.78,0.74,1.42,2.03,5.02,2.5,0.71,5.3,1.09,0.38,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.59,4.9,3.33,4.75,2.01,3.77,4.36,3.7,1.28,0.65,3.14,0.7,1.05,6.17,4.59,3.21,2.36,1.77,6.49,3.55,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
