HAWARDEN-LIBRARY,,,,,,,,,,
Grid ref,SJ315658,Long,-3.0265318,Lat,53.184866,Elevation,248,ft.,,
Station no,4272,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,0.66,,
April,,,,,,,,0.17,,
May,,,,,,,,2.82,,
June,,,,,,,,2.94,,
July,,,,,,,,2.56,,
August,,,,,,,,4,,
September,,,,,,,,1.07,,
October,,,,,,,,3.2,,
November,,,,,,,,3.54,,
December,,,,,,,,3.6,,
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is St Deiniols Library, now Gladstone Library, moved to 36 High Park in 1939, assumed to be January. Altitudes match",,,,,,,,,,
