CAERGWRLE-BRYTIRION,,,,,,,,,,
Grid ref,SJ299580,Long,-3.0487609,Lat,53.114555,Elevation,300,ft.,,
Station no,RR1754,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.18,4.79
February,,,,,,,,,2.94,2.19
March,,,,,,,,,0.87,1.12
April,,,,,,,,,2,2.68
May,,,,,,,,,4.46,2.67
June,,,,,,,,,1.96,3.67
July,,,,,,,,,0.69,2.31
August,,,,,,,,,3.93,1.09
September,,,,,,,,,1.25,3.1
October,,,,,,,,1.7,4.64,3.47
November,,,,,,,,3.57,1.74,2.41
December,,,,,,,,3,2.9,2.41
Total,,,,,,,,,28.56,31.91
,,,,,,,,,,
"NGR is Bryntrtion Place. Altitudes match. There is a Bryntirion Farm NW of ths NGR and this could be the location, see comments on Caergwrle. NGR could be out by 1km or more.",,,,,,,,,,
