WOOLSTON-HILL-ASH-FARM,,,,,,,,,,
Grid ref,ST652279,Long,-2.497831,Lat,51.049386,Elevation,350,ft,,
Station no,2075/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.33
February,,,,,,,,,,2.59
March,,,,,,,,,,1.53
April,,,,,,,,,0.76,2.14
May,,,,,,,,,0.83,1.57
June,,,,,,,,,0.63,1.72
July,,,,,,,,,1.76,3.9
August,,,,,,,,,0.9,4.68
September,,,,,,,,,0.19,3.52
October,,,,,,,,,3.6,8.27
November,,,,,,,,,3.9,3.83
December,,,,,,,,,6.27,3.53
Total,,,,,,,,,,40.61
,,,,,,,,,,
Read 0900 clock time,,,,,,,,,,
Hill Ash Farm Woolston,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Woolston SRC_ID 9163,,,,,,,,,,
1959-1969,,,,,,,,,,
