"TODHEAD POINT LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NO870769,Long,-2.214948,Lat,56.883296,,,,,,,
Station no,5616,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.81,1.97,0.70,1.02,2.19,1.96,1.61,2.45,1.34,3.09,,
February,2.03,0.95,0.83,2.33,1.59,0.75,1.34,1.05,0.20,1.96,,
March,2.00,2.74,0.27,2.19,1.42,0.39,1.32,2.55,1.04,0.87,,
April,1.78,0.99,2.31,1.27,1.00,0.98,0.45,0.74,2.25,0.92,,
May,1.33,2.37,1.77,3.51,1.80,0.30,1.16,1.06,1.57,0.60,,
June,1.05,2.40,1.10,1.80,0.37,0.86,0.30,0.33,3.48,2.06,,
July,3.47,1.78,4.06,2.28,0.41,2.15,1.97,4.27,1.19,2.72,,
August,3.74,2.98,1.72,2.06,0.36,1.38,2.61,3.95,0.42,4.66,,
September,1.12,0.72,2.35,2.10,1.05,2.94,1.44,0.82,0.69,3.33,,
October,0.75,1.69,1.04,4.44,1.47,0.86,0.80,2.27,2.54,7.24,,
November,6.28,2.09,2.06,4.29,1.07,0.25,0.22,0.52,6.32,5.01,,
December,2.20,1.82,2.57,2.25,2.69,1.43,1.04,2.81,6.03,1.86,,
Total,27.56,22.50,20.78,29.54,15.42,14.25,14.26,22.82,27.07,34.32,,
Calc annual,27.56,22.50,20.78,29.54,15.42,14.25,14.26,22.82,27.07,34.32,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
