SHREWSBURY-COPTHORNE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ474125,Long,-2.78,Lat,52.7076,Elevation,252,ft.,,,,,,,,,,,,,
Station no,2288/3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1,4.22,1.48,2.83,1.37,2.57,0.99,2.94,2.19,2.66,5.15,
February,,,,,,,,,,0.47,0.62,2.16,0.12,2.21,0.17,2.69,1.7,3.41,0.43,1.17,
March,,,,,,,,,,0.43,3.36,0.35,2.16,1.94,1.18,0.83,1.53,1.69,0.28,1.43,
April,,,,,,,,,,0.59,2.28,3.59,3.75,0.85,2.25,2.8,1.48,1.84,0.13,1.61,
May,,,,,,,,,,1.54,1.51,4.73,4.06,1.21,1.36,0.75,1.05,1.2,1.64,0.92,
June,,,,,,,,,,2.01,1.03,3.87,0.93,2.84,1.36,1.61,2.89,0.89,1.97,1.33,
July,,,,,,,,,,1.98,3.66,2.54,4.58,2.18,1.69,0.55,3.85,1.84,1.68,4.55,
August,,,,,,,,,,2.63,1.26,5.07,1.29,1.19,2.26,1.44,0.49,1.58,3.64,2.11,
September,,,,,,,,,,1.03,2.9,2.37,1.75,1.03,1.26,3.29,4.69,1.65,1.33,0.6,
October,,,,,,,,,,2.76,3.21,0.77,3.75,4.92,1.88,4.27,1.6,3.13,3.24,2.79,
November,,,,,,,,,,4.89,3.32,3.8,1.09,0.7,1.67,4.34,1.94,1.47,3.18,3.58,
December,,,,,,,,,,4.92,3.16,1.25,0.8,0.55,3.19,2.47,2.46,2.43,2.3,2.08,
Total,,,,,,,,,,24.25,30.53,31.98,27.11,20.99,20.84,26.03,26.62,23.32,22.48,27.32,
,,,,,,,,,,,,,,,,,,,,,
"NGR is 0.875 miles east of St Chads Church, as noted on the records, and is in Copthorne at the correct altitude. ",,,,,,,,,,,,,,,,,,,,,
Cannot locate the observer W H Purslow. Could be +/- 200 yards or more.,,,,,,,,,,,,,,,,,,,,,
"Note the 1930 records are for the same place but the station number and river basin area was changed, previous Station No 2299",,,,,,,,,,,,,,,,,,,,,
