BATH ROYAL INSTITUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST752647,Long,-2.357732,Lat,51.380802,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,5.48,4.16,5.06,5.17,2.47,2.28,5.31,4.5,3.08,4.2,1.92,4.42,1.66,3.68,0.51,2.01,1.67,3.26,3.7,2.75,4.69,2.24,0.7,0.85,3.17,2.6,1.14,2.22,2.48,3.16,0.41,1.79,0.38,5.03,3.23,1.99,1.34,3.72,3.17,0.49,4.36,1.32,1.23,1.2,2.83,0.89,4.76,5.06,0.59,4.28,1.99,1.51,3.12,4.79,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,4.45,2.62,1.72,2.9,1.92,1.34,3.17,1.26,2.18,2.46,3.47,1.58,1.52,4.07,3.42,4.06,2.12,3.67,1.38,3.6,0.58,0.47,2.52,1.5,0.69,0.03,1.42,3.83,2.8,0.12,0.41,3.08,1.83,3.76,5.22,0.78,0.86,1.85,3.61,0.82,2.07,1.36,1.24,0.61,3.84,1.97,2.13,1.13,3,5.82,4.9,2.2,1.48,2.44,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.09,2,4.05,1.62,1.45,1.21,1.33,2.08,3.59,1.16,0.99,4.35,2.49,1.58,0.83,1.96,1.82,2,0.99,2.42,1.06,1.51,2.25,3.57,3.8,1.28,2.39,0.71,0.49,1.94,2.32,2.82,4.36,0.57,0.92,1.14,2.3,1.76,3.97,1.8,3.73,1.6,0.78,2.47,3.48,0.69,2.88,5.87,3.46,4.15,0.96,4.16,2.45,1.02,4.73,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.02,1.78,3.11,2.41,0.93,0.42,3.58,2.75,0.65,1.57,1.7,3.2,2.81,2.21,2.86,1.63,0.53,4.38,0.81,0.91,2.44,2.09,1.13,2.34,3.56,1.24,1.06,1.74,0.06,2.83,3.12,0.91,2.97,2.29,3.76,0.95,2.69,1.41,3.11,1.68,2.54,1.2,3.6,2.81,2.21,2.95,1.2,0.27,3.28,1.73,1,1.22,2.11,2.72,2.24,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.02,1.07,2.01,0.7,4.8,2.07,1.09,2.06,1.76,0.48,2.25,0.38,3.08,7.06,2.81,0.73,1.88,1.75,1.04,1.37,3.17,4.97,1.64,1.13,2.19,2.55,3.03,0.96,1.79,1.86,0.43,0.28,1.37,3.16,1.64,2.3,1.1,1.96,5.36,1.95,0.04,1.77,2.78,1.05,1.61,1.27,0.73,1.65,2.59,1.52,2.84,2.4,2.71,1.64,0.53,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.41,3.17,1.4,0.53,1.44,0.76,1.94,3.22,0.93,1.07,3.5,0.79,0.99,4.15,6.67,1.63,2.78,4.73,3.74,3.82,1.02,0.37,1.23,3.31,1.48,3.75,0.68,2.32,1.19,2.63,0.44,1.27,3.04,1.78,1.72,1.77,1.76,2.89,4.5,1.45,3.43,2.73,2.32,0.57,2.97,5.58,1.72,3.02,0.63,2.05,2.02,2.25,4.61,1,1.02,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.78,2.11,3.16,0.55,1.08,0.62,5.16,2.25,2.67,0.91,5.97,1.02,3.53,1.54,3.69,3.5,2.24,5.92,3.36,3.69,0.21,2.36,0.58,5.84,2.26,3.59,2.25,3.18,4.3,3.9,4.01,0.96,1.88,0.68,0.22,1.26,2.95,1.2,3.16,2.48,0.55,0.95,5.14,2.45,2.39,1.9,0,3.65,0.4,3.12,3.52,1.21,2.67,4.86,2.41,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.51,2.61,2.1,4.43,1.09,1.25,1.15,1.58,3.07,3.44,1.32,3.9,3.79,5.78,5.22,0.82,4.22,4.06,1.26,1.88,3.04,1.59,1.35,2.68,3.24,2.38,5.47,3.53,1.71,2.74,2.33,2.79,5.31,2.34,1.03,2.59,1.53,2.8,4.02,2.8,3.9,1.79,2.14,1.07,3.18,4.87,1.06,6.01,1.98,2.25,2.52,4.14,7.88,2.61,2.84,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.03,6.87,1.87,3.3,4.43,1.28,5.91,3.06,1.31,6.43,3.72,4.8,3.16,1.89,3.02,4.55,1.7,2.56,4.21,1.85,4.74,2.18,3.14,1.41,1.1,0.98,2.06,2.83,1.48,2.84,1.46,6.12,2.78,1.01,3.55,0.56,2.48,1.84,2.39,1.34,1.65,0.74,0.53,2.31,3.1,0.14,1.02,0.79,3.37,1.28,1.9,1.32,2.53,6.78,1.38,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.69,1.57,3.62,2.69,2.03,5.54,1.58,3.79,2.33,3.77,6.28,1.28,1.95,5.42,1.11,4.56,1.99,4.8,2.96,0.86,4.53,4.92,2.67,1,2.71,0.98,8.43,2.87,3.41,3.16,3.35,2.52,1.17,4.26,2.29,2.91,1.54,2,7.08,0.69,1.43,5.22,5.67,1.78,4.9,4.74,3.05,4.28,3.12,2.5,4.1,7.25,5.17,1.38,1.92,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
