PERTH (ROSEBANK),,,,,,,,,,
Grid ref,NO 12521 23787,Long,-3.418854,Lat,56.398208,Elevation,130,ft,,
Station no,RR1808,,,,,,,,,
,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,1.7,0.36,0.95,1.81,,,
February,,,,3.12,0.69,2.01,0.66,,,
March,,,,1.01,1.2,1.99,2.11,,,
April,,,,0.52,2.24,1,1.04,,,
May,,,,3.26,0.84,2.33,2.62,,,
June,,,,1.48,0.75,0.87,1.23,,,
July,,,,1.27,2.12,1.75,3.84,,,
August,,,,0.48,2.89,1.32,3.12,,,
September,,,,2.29,1.01,2.19,2.5,,,
October,,,,2.05,1.83,3.36,2.04,,,
November,,,4.17,1.74,2.04,1.64,1.5,,,
December,,,1.02,1.31,3.95,1.34,1.17,,,
Total,,,,20.23,19.92,20.75,23.64,,,
