COLWYN-BAY-EAST-PARADE,,,,,,,,,,
Grid ref,SH854789,Long,-3.7208453,Lat,53.294625,Elevation,65,ft.,,
Station no,4320,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.54,0.91,3.41,0.97,1.48,
February,,,,,2.36,1.36,1.78,0.82,2,
March,,,,,1.31,2.74,1.76,1.09,2.31,
April,,,,,0.98,1.16,0.68,0.99,1.57,
May,,,,,1.25,0.77,3.4,2.24,1.79,
June,,,,,2.32,2.84,1.39,2.35,1.99,
July,,,,,2.83,2.16,0.74,1.61,2.14,
August,,,,,4.38,3.4,3.98,2.99,2.56,
September,,,,,0.8,1.21,0.72,0.31,3.11,
October,,,,,1.22,3.04,4.9,4.77,1.18,
November,,,,,1.42,3.67,2.07,2.21,3.43,
December,,,,,1.72,0.47,1.82,1.88,2.15,
Total,,,,,23.13,23.73,26.65,22.23,25.71,
,,,,,,,,,,
"NGR is on a stamp on the 1900s record. Altitudes match. Gauge moved to Council Offices in 1909, about 700m W",,,,,,,,,,
