COLWYN-BAY-EAST-COUNCIL-OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH847790,Long,-3.7313788,Lat,53.295372,Elevation,8,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.03,2.75,0.82,2.01,2.91,1.69,3.19,1.75,1.43,2.51,2.94,3.01,4.19,3.79,2.43,2.58,2.74,2.66,3.13,4.77,1.3,
February,,,,,,,,,,0.98,3.98,1.71,1.59,0.98,2.99,4.34,4.18,1.18,2.97,1.72,2.75,0.5,4.6,4.69,0.92,5.05,1.47,1.66,3.3,1.15,
March,,,,,,,,,,2.09,1.72,1.36,3.51,3.1,2.94,1.37,2.34,2.79,0.99,4.88,5.83,2.5,2.67,0.78,0.78,0.81,0.98,4.48,1.63,0.07,
April,,,,,,,,,,2.24,3.15,1.47,0.39,3.03,0.64,1.93,1.88,3.25,1.25,2.1,3.83,1.24,2.9,1.69,2.3,1.63,1.41,1.21,0.69,1.74,
May,,,,,,,,,,0.86,2.13,0.97,1.63,1.68,1.52,2.11,3.78,2.62,4.28,1.33,2.6,1.75,0.45,2.95,5.26,3.27,2.54,1.49,1.34,1.69,
June,,,,,,,,,,2.34,2.45,2.85,3.7,2.3,1.69,1.44,1.88,2.19,1.33,1.55,2.62,0.16,1.84,0.74,2.65,0.15,1.38,3.75,4.28,1.71,
July,,,,,,,,,,3.55,2.55,1.08,4.28,1.39,3.15,2.65,1.25,0.97,2.55,1.43,5.04,0.84,2.89,2.41,3.57,3.33,3.68,2.27,1.09,1.92,
August,,,,,,,,,,2.95,3.78,2.98,5.8,2.57,1.08,3.89,1.59,6.09,1.8,3.49,2.23,3.45,1.68,2.82,3.71,2.86,3.63,7.1,2.48,2.49,
September,,,,,,,,,,2.82,0.48,4,0.99,3.68,2.89,1.18,3.34,1.1,7.33,1.65,4.47,1.19,2.09,3.46,4.86,3.84,3.19,5.62,1.26,2.32,
October,,,,,,,,,,4.33,4.02,3.32,3.66,2.94,1.43,1.65,4.2,5.9,2.77,3.36,1.73,2.65,0.85,4.4,3.22,4.37,3.07,3.07,5.09,,
November,,,,,,,,,,1.6,5.23,2.82,2.97,3.02,3.35,3.39,3.33,3.06,1.7,1.64,1.45,2.3,1.72,4.45,1.48,3.52,4.13,4.47,4.18,,
December,,,,,,,,,,4.18,4.2,6.27,2.23,2.49,6.39,6.55,1.84,2.01,3.68,,2.7,3.48,5.27,4.32,5.8,3.31,1.3,1.3,2.84,,
Total,,,,,,,,,,29.97,36.44,29.65,32.76,30.09,29.76,33.69,31.36,32.59,33.16,,38.26,24.25,30.75,35.14,37.13,34.88,29.44,39.55,32.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is a rain gauge on the OS map near the Council Offices. Altitudes match. Records have an NGR of SH848790, 100m E, which is not the Council Offices. Guage moved to Eirias Park Sep 1929, about 1km E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
