"LITTLE DRIFFIELD (Eastern edge, Snowdon Gauge)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA012580,Long,-0.457,Lat,54.008,Elevation,76,ft,,,,,,,,,,,,,,,,,,,,,
Station no,RR1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917
January,1.37,2.19,1.21,1.27,1.51,2.10,5.34,0.72,2.44,0.71,2.66,3.26,1.28,0.97,1.83,2.12,0.59,2.96,0.83,1.40,0.79,1.82,1.42,3.57,2.90,1.93,3.06,0.75,3.31
February,1.59,1.58,0.13,2.21,3.40,3.12,0.68,0.81,2.53,1.28,1.24,3.71,2.38,1.27,1.06,2.59,0.99,2.00,1.62,1.67,1.54,2.62,1.25,1.44,0.85,1.14,3.69,3.70,1.02
March,2.18,1.54,1.88,1.37,0.42,1.18,2.57,2.54,3.41,2.07,1.75,0.70,2.01,1.37,2.73,1.27,2.44,2.00,1.30,2.75,4.01,1.07,2.37,3.14,2.68,2.11,1.13,3.57,1.61
April,3.12,0.87,1.85,1.71,0.48,1.81,1.75,1.10,1.81,3.65,1.92,1.22,1.64,1.00,2.14,1.16,2.25,1.07,1.69,2.86,2.31,1.66,1.15,0.21,1.74,0.68,0.84,1.03,1.18
May,2.52,2.57,1.70,3.14,2.18,1.84,0.60,0.83,1.06,2.56,4.11,1.22,0.79,2.05,2.95,2.09,0.83,2.19,3.36,2.16,1.70,4.26,1.00,3.18,2.27,1.69,1.91,2.78,1.25
June,0.54,2.25,0.96,3.27,1.50,4.00,3.50,2.19,2.40,2.44,1.16,1.99,2.16,1.83,1.79,0.39,1.86,1.03,2.88,0.90,3.96,1.81,2.75,4.23,1.02,2.64,0.30,2.08,1.57
July,2.41,1.54,3.50,1.49,1.77,2.97,5.33,1.04,0.47,0.51,1.29,1.22,0.96,2.45,3.31,2.35,1.29,2.41,0.84,2.51,3.00,2.55,1.22,4.14,0.48,3.96,5.81,1.65,1.53
August,3.62,4.82,3.71,2.95,1.65,1.77,2.64,1.12,3.75,3.61,0.57,6.50,3.85,2.10,2.36,3.72,3.50,2.76,2.19,1.90,4.69,3.63,3.21,4.50,0.91,4.11,2.44,1.92,5.47
September,1.29,1.44,1.43,1.04,1.80,1.00,1.23,3.12,2.78,0.33,3.75,0.96,0.91,0.63,3.18,1.21,1.82,0.93,0.74,1.90,1.52,0.34,3.27,1.96,0.61,2.16,1.48,1.03,0.61
October,4.53,1.60,3.60,7.07,1.53,4.41,3.88,5.13,1.88,4.17,2.18,3.25,1.57,2.58,6.14,0.53,2.27,4.58,5.11,1.26,3.16,3.34,2.60,2.99,3.73,2.15,1.08,3.08,3.07
November,0.92,3.20,3.25,1.84,4.11,1.61,2.76,1.73,3.04,3.12,1.24,2.80,3.70,1.38,1.28,2.19,4.04,3.84,2.46,1.37,0.95,3.52,3.96,2.61,2.30,3.07,2.62,3.30,1.51
December,1.35,1.22,3.33,1.08,2.49,2.62,2.33,3.98,2.39,2.60,2.65,3.57,4.54,2.21,1.21,2.06,0.28,1.94,3.80,2.11,4.88,2.81,4.38,1.75,1.62,5.53,5.51,2.89,1.37
Total,25.44,24.82,26.55,28.44,22.84,28.43,32.61,24.31,27.96,27.05,24.52,30.40,25.79,19.84,29.98,21.68,22.16,27.71,26.82,22.79,32.51,29.43,28.58,33.72,21.11,31.17,29.87,27.78,23.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# There were two gauges running in parallel for 1889 and 1893-1896.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In 1889 a Snowdon gauge was introduced, and from then on formed the main record for the site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The location information on the sheets is contradictory about whether the gauge is in [Great] Driffield or Little Driffield.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The sheet titles all refer to Driffield York Road, and the census gives 3 York Road as the observer address.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# With York Road being in Driffield rather than Little Driffield.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# But the church directions on the sheet mention Little Driffield church explicitly, and so put the gauge on the eastern edge of Little Driffield.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Grid references for the two locations are: TA020581 (York Road) and TA012580 (Little Driffield), about 1km to the west.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Based on the directions, the Little Driffield site rather than the observer's address is assumed to be where the gauge was located, and its grid reference has been used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January-April 1895 are duplicated on the 1890s sheet for Driffield Highfield.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1895 was the first year of operation for Driffield Highfield.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The duplicated values seem likely to belong to Little Driffield and been borrowed by Driffield Highfield to produce a full year total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# And so the duplicated values have been retained here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
