TEINDHILL NR DUNSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT786541,Long,-2.342747,Lat,55.779743,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,,,,,,,,,,,,,,1.65,3.4,1.36,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,5.15,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.75,3.87,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,1,0.95,6.12,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,2.26,1.32,1.1,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.4,2.8,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.42,1.75,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,4.77,2,5.8,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,2.25,4.43,5.2,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.17,2.75,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,5.36,5.92,6.65,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,4.75,2.95,12.6,,,
Total,,,,,,,38.75,32.01,30.21,31.6,39.48,31.12,34.5,31.46,37.44,36.22,36.69,33.71,34.56,32.09,28.97,35.8,,36.01,35,36.21,55.15,,,
