ABERDOVEY-OBSERVER-CHARLES-GAUGE-2,,,,,,,,,,
Grid ref,SN615960,Long,-4.0438045,Lat,52.544185,Elevation,48,ft.,,
Station no,RR2250,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,5.71,3.58,1.55
February,,,,,,,,4.75,1.66,
March,,,,,,,,3.01,1.28,
April,,,,,,,,2.54,1.68,
May,,,,,,,,3.32,3.99,
June,,,,,,,,3.69,2.3,
July,,,,,,,,6.03,1.41,
August,,,,,,,,6.98,5.29,
September,,,,,,,,2.59,3.39,
October,,,,,,,,4.69,4.7,
November,,,,,,,,6.44,3.08,
December,,,,,,,,4.42,2.25,
Total,,,,,,,,54.17,34.61,
,,,,,,,,,,
NGR is Aberdovey.,,,,,,,,,,
"The gauge is noted as being on a roof, which suggests the location is adjacent to the river.",,,,,,,,,,
NGR could be +/- 1km or more,,,,,,,,,,
