WHITBY - HAWSKER EXPERIMENTS (Field),,,,,,,,,,
Grid ref,NZ933076,Long,-0.562,Lat,54.455,Elevation,428,ft,,
Station no,RR2413,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.69,,,,,,,,,
February,2.06,,,,,,,,,
March,1.43,,,,,,,,,
April,0.36,,,,,,,,,
May,1.35,,,,,,,,,
June,3.15,,,,,,,,,
July,0.45,,,,,,,,,
August,1.88,,,,,,,,,
September,0.85,,,,,,,,,
October,5.08,,,,,,,,,
November,3.09,,,,,,,,,
December,5.81,,,,,,,,,
Total,27.20,,,,,,,,,
,,,,,,,,,,
TYRain_1870-1879_08_pt3/052,,,,,,,,,,
,,,,,,,,,,
"# Rev Fenwick Stow performed experiments with many gauges at Hawsker, in his garden and in a field on the cliff tops.",,,,,,,,,,
# See the map in British Rainfall 1870 and articles in BR 1870 and 1871.,,,,,,,,,,
"# The frontispiece of British Rainfall 1870 has an illustration of the 20+ gauges in the field, overlooking the North Sea.",,,,,,,,,,
