WHITBY - HAWSKER EXPERIMENTS (Parsonage Garden I),,,,,,,,
Grid ref,NZ927074,Long,-0.572,Lat,54.454,Elevation,340,ft
Station no,RR2413,,,,,,,
,,,,,,,,
,1869,1870,,,,,,
January,,1.76,,,,,,
February,,2.67,,,,,,
March,,1.56,,,,,,
April,1.35,0.37,,,,,,
May,2.97,1.49,,,,,,
June,2.08,3.21,,,,,,
July,0.68,0.50,,,,,,
August,1.59,1.98,,,,,,
September,2.74,0.82,,,,,,
October,3.18,5.24,,,,,,
November,3.05,3.47,,,,,,
December,5.54,7.02,,,,,,
Total,,30.09,,,,,,
,,,,,,,,
TYRain_1860-1869_05_pt1/189,,,,,,,,
TYRain_1870-1879_08_pt3/051,,,,,,,,
,,,,,,,,
"# Rev Fenwick Stow performed experiments with many gauges at Hawsker, in his garden and in a field on the cliff tops.",,,,,,,,
# See the map in British Rainfall 1870 and articles in BR 1870 and 1871.,,,,,,,,
