WHITBY - HAWSKER EXPERIMENTS (Parsonage Garden II),,,,,,,,,,
Grid ref,NZ927074,Long,-0.572,Lat,54.454,Elevation,344,ft,,
Station no,RR2413,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,2.93
June,,,,,,,,,,2.03
July,,,,,,,,,,0.68
August,,,,,,,,,,1.56
September,,,,,,,,,,2.58
October,,,,,,,,,,3.15
November,,,,,,,,,,3.08
December,,,,,,,,,,5.52
Total,,,,,,,,,,
,,,,,,,,,,
TYRain_1860-1869_05_pt1/188,,,,,,,,,,
,,,,,,,,,,
"# Rev Fenwick Stow performed experiments with many gauges at Hawsker, in his garden and in a field on the cliff tops.",,,,,,,,,,
# See the map in British Rainfall 1870 and articles in BR 1870 and 1871.,,,,,,,,,,
