WINSHILL-BURTON-OBS-MATTHEWS,,,,,,,,,,,,,,,,,,,,
Grid ref,SK257226,Long,-1.6202564,Lat,52.800351,Elevation,272,ft.,,,,,,,,,,,,
Station no,RR2328,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.75,2.01,1.99,3.1,2.06,3.44,2.36,1.76,0.34,0.72,2.24,2.4,2.53,1.57,,,,
February,,,2.39,0.92,1.87,1.18,2.82,2.79,1.08,2.93,1.99,3.48,2.23,2.38,1.21,2.15,,,,
March,,,1.95,2.34,1.03,0.44,2.89,1.96,0.86,0.59,1.34,2.14,1.43,1.04,1.84,0.83,,,,
April,,,2.99,0.38,1.39,0.71,3.2,2.55,1.36,2.38,1.47,1.07,3.26,1.77,1.54,2,,,,
May,,,2.19,2.28,1.57,1.79,0.95,2.43,5.59,1.99,1.94,1.31,2.29,1.04,1.3,2.23,,,,
June,,,4.98,3.62,1.36,3.13,2.63,1.57,3.14,4.24,2.64,2.43,4.7,3.87,1.54,3.08,,,,
July,,,3.24,2.26,1.08,6.28,1.87,3.95,1.11,2.76,6.63,1.21,3.64,2.11,2.75,0.23,,,,
August,,,3.44,3.57,2.02,2.22,1.69,3.82,4.99,5.43,1.85,4.24,1.76,1.47,2.06,1.41,,,,
September,,,2.46,1.47,2.92,3.57,4.04,1.98,2.24,3.02,3.44,1.48,2.04,4.08,1.17,2.96,,,,
October,,,4.96,1.57,1.94,5.56,1.45,1.65,2.45,0.95,3.94,2.84,4.99,2.07,1.3,4.94,,,,
November,,,2.6,1.61,2.69,3.45,3.59,3.11,2.4,1.33,1.79,2.39,3.6,3.87,1.03,2.34,,,,
December,,,4.1,0.27,2.86,1.28,4.77,2.22,2.54,1.41,3.66,2.38,4.94,0.85,2.52,0.47,,,,
Total,,,39.05,22.3,22.72,32.71,31.96,31.47,30.12,28.79,31.03,25.69,37.12,26.95,20.79,24.21,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is the only location at the stated altitude W or SW of Winshill (record says that Winshill is half mile E or NE of the gauge). NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
