WINSHILL-BURTON-OBS-BROWN,,,,,,,,,,,,,,,,,,,,
Grid ref,SK258224,Long,-1.6187889,Lat,52.798549,Elevation,275,ft.,,,,,,,,,,,,
Station no,RR2328,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.36,2.71,2.46,1.76,2.88,2.52,1,1.04,2.27,1.85,1.58,1.37,1.53,3.84,1.31,2.2,1.3,
February,,,2.16,2.59,1.21,2.41,0.57,0.45,0.59,1.88,0.64,0.12,1.04,2.57,2.29,0.15,0.86,3.14,1.37,
March,,,1.48,1.11,1.86,1.06,2.87,1.15,2.49,3.6,1.14,1.35,0.95,0.29,0.82,-999,2.44,2.72,0.95,
April,,,2.98,1.98,1.53,2.27,2.1,1.07,1.68,3.31,0.93,1.88,1.08,0.61,1.26,-999,0.98,2.21,1.76,
May,,,2.35,1.25,1.16,2.23,5.98,1.61,0.55,3.55,2.1,2.62,-999,2.37,-999,0.62,0.43,1.41,3,
June,,,4.5,3,1.84,3.26,1.44,1.33,1.06,0.82,2.11,2.92,-999,0.77,-999,1.75,1.77,2.61,1.91,
July,,,3.49,2.22,3.06,0.26,2.85,1.54,5.36,2.34,2.18,2.14,-999,2.76,2.76,3.24,1.68,0.41,1.12,
August,,,,-999,2.46,-999,-999,1.56,2.52,3.27,2.58,4,2.67,1.84,1.99,2.4,2.15,4.23,2.28,
September,,,,-999,1.86,-999,-999,1.9,1.21,2.55,1,1.33,3.1,2.22,0.67,0.5,3.67,3.01,0.51,
October,,,5.16,2.37,1.41,5.24,4.05,2.04,0.57,2.98,1.43,4.63,2.75,1.85,2.58,2.77,2.48,0.98,3.27,
November,,,3.21,3.98,1.25,2.68,2.13,1.82,3.66,0.85,3.32,2.02,1.56,1.25,2.11,2.89,1.37,1.89,2.28,
December,,,5.3,0.85,2.59,0.77,3.32,1.5,1.85,2.15,0.62,3.55,1.95,2.51,2.12,2.38,3.46,2.85,2.12,
Total,,,,27.69,22.69,27.11,31.74,18.49,22.54,28.34,20.32,28.41,23.68,20.41,22.88,24.39,22.6,27.66,21.87,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is based on the directional information on the records. Gauge moved 200 yards S to this location in May 1896 and then moved half a mile NNE in April 1894. Altitude from OS map. Stated NGR could be +/- 250m,,,,,,,,,,,,,,,,,,,,
Annual totals for 1884 and 1895 are in brackets because the gauge moved during the year; left in this record.,,,,,,,,,,,,,,,,,,,,
