AXMINSTER-FURZEBROOK,,,,,,,,,,
Grid ref,SY294979,Long,-3.0021,Lat,50.77714,Elevation,128,ft,,
Station no,RR8740,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.34,3.19,2.68,4.33,4.02,1.41,0.73
February,,,,4.37,4.75,3.93,1.08,0.42,0.74,1.64
March,,,,1.04,3.37,1.79,4.18,1.46,4.04,2.38
April,,,,0.95,2.34,3.11,1.18,1.46,2.12,2.64
May,,,,1.73,1.04,3.64,3.76,1.18,1.58,1.92
June,,,,2.22,2.17,1.47,0.49,0.19,3.11,0.45
July,,,,2.74,3.19,0.23,2.57,0.77,5.59,3.23
August,,,,0.71,0.97,1.41,2.14,1.77,2.12,2.8
September,,,,4.72,2.07,4.61,1.8,2.67,1.01,1.36
October,,,,2.51,0.45,5.21,4.56,2.91,1.49,3.9
November,,,,3.37,1.47,3.44,2.56,2.98,8.46,1.42
December,,,,0.7,3.56,2.34,5.7,2.45,2.68,1.92
Total,,,,28.4,28.57,33.86,34.35,22.28,34.35,24.39
,,,,,,,,,,
1890 BR says entry is unreliable and was not printed,,,,,,,,,,
