"BATH STATUTORY HOSPITAL",,,,,,,,,,,,
Grid ref,ST778629,Long,-2.320261,Lat,51.364726,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,2.15,1.71,3.78,3.33,0.67,4.90,1.73,1.53,1.29,,
February,5.76,1.17,0.92,2.69,3.95,1.00,2.12,1.63,1.49,0.76,,
March,1.20,2.68,2.11,4.50,1.71,4.13,1.85,1.16,2.81,3.65,,
April,1.67,2.75,1.68,3.48,2.00,2.74,1.33,3.51,3.15,2.30,,
May,2.39,,2.48,4.91,2.23,0.09,2.41,3.52,1.49,1.61,,
June,2.09,1.90,3.57,4.75,1.46,3.52,2.82,2.72,0.69,2.90,,
July,1.65,3.51,1.48,4.20,3.29,0.52,1.07,3.43,2.69,3.07,,
August,3.13,1.84,3.55,5.53,2.97,5.59,2.26,2.72,4.31,3.22,,
September,0.80,2.70,1.79,2.84,1.53,1.75,0.97,0.71,2.75,3.35,,
October,3.35,2.34,2.29,8.00,0.95,1.63,5.84,5.45,2.31,5.39,,
November,3.18,0.85,2.82,2.66,2.03,3.73,3.46,2.90,1.20,1.03,,
December,6.64,5.82,2.54,2.82,2.24,1.05,2.04,5.57,2.97,4.47,,
Total,35.50,,26.94,50.16,27.69,26.42,31.07,35.05,27.39,33.04,,
Calc annual,35.50,27.71,26.94,50.16,27.69,26.42,31.07,35.05,27.39,33.04,,
Difference,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
