CAMBORNE-RECTORY,,,,,,,,,,
Grid ref,SW644399,Long,-5.30356,Lat,50.21232,Elevation,317,ft,,
Station no,RR8951,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,2.16,5.28,6.72,2,5.94,2.04,,
February,,,2.33,1.75,6.73,1.11,4.99,2.06,,
March,,,2.56,6.53,2.66,5.25,1.36,1.45,,
April,,,2.79,2.56,1.49,2.64,1.19,6.3,,
May,,,1.56,2.24,3.36,0.62,5.13,3.38,,
June,,,3.07,1.68,1.61,2.54,2.75,3.4,,
July,,,2.53,3.91,3.83,1.29,2.03,1.85,,
August,,,1.62,4.7,3,4.97,2.48,2.19,,
September,,,3.4,3.45,2.48,1.36,1.14,2.26,,
October,,,3.8,9.08,2.28,2.07,6.06,8.68,,
November,,,5.64,3.25,3.59,5.87,4.62,7.36,,
December,,,3.18,9.13,4.38,2.28,3.51,6.32,,
Total,,,34.64,53.56,42.13,32,41.2,47.29,,
,,,,,,,,,,
NGR at Rectory as marked on OS maps but church is NW not SSW as on sheet,,,,,,,,,,
