TAUNTON-NORTON-FITZWARREN,,,,,,,,,,,,,,,,,,,,
Grid ref,ST185277,Long,-3.16382,Lat,51.04287,Elevation,140,ft,,,,,,,,,,,,
Station no,RR8795,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.86,0.9,4.16,2.84,1.77,2.14,2.74,4.17,,,,
February,,,,,,,,,0.78,2.38,1.31,0,3.01,4.4,2.79,0.15,,,,
March,,,,,,,,,3.05,4.58,1.38,3.14,0.86,0.62,2.18,2.57,,,,
April,,,,,,,,,2.58,2.77,3.19,1.05,0.73,0.15,2.06,1.86,,,,
May,,,,,,,,,1.83,2.78,2.34,4.22,1.21,1.18,1.88,0.27,,,,
June,,,,,,,,,3.1,0.48,2.44,1.26,2.18,0.61,1.85,1.54,,,,
July,,,,,,,,,5.82,2.67,3.37,3.11,2.71,6.86,4.11,2.49,,,,
August,,,,,,,,,2.55,3.11,3.22,6.04,2.3,1.7,2.82,,,,,
September,,,,,,,,,2.2,1.54,1.42,1.9,2.4,1.93,2.68,,,,,
October,,,,,,,,,1.04,4.78,1.71,7.65,4.23,3.23,3.71,,,,,
November,,,,,,,,,7.85,1.51,3.41,3.87,2.29,1.81,5.72,,,,,
December,,,,,,,,,2.94,2.15,1.74,4.41,1.24,3.35,2.25,,,,,
Total,,,,,,,,,34.6,29.65,29.69,39.49,24.93,27.98,34.79,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer appears to have lived in Ash Priors so unknown why the gauge was south of this or where it exactly was,,,,,,,,,,,,,,,,,,,,
NGR matches distance and elevation but could be anywhere in arc depending whether it was at a residence or in a field although sheet mentions trees nearby,,,,,,,,,,,,,,,,,,,,
1889 Mar 8 Note says 2.21 inches fell which following a fall of 1.12 inches on 7th occasioned a flood at Taunton and damaged the branch line so much that trains were stopped for some days,,,,,,,,,,,,,,,,,,,,
1891 Mar 9-10 Snow 17 inches deep where undrifted and some remained until April 17,,,,,,,,,,,,,,,,,,,,
