SOUTH-MOLTON-EAST-STREET-(BROAD-STREET),,,,,,,,,,
Grid ref,SS714259,Long,-3.8345,Lat,51.0182,Elevation,443,ft,,
Station no,RR1628,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.9,4.07,6.74,5.54,,,,,,
February,2.63,3.43,5.16,2.39,,,,,,
March,1.98,2.1,4.36,4.36,,,,,,
April,0.5,4.36,3.3,1.63,,,,,,
May,2.21,0.38,2.43,3.07,,,,,,
June,1.36,2.63,4.2,1.79,,,,,,
July,1.68,5.96,6.9,,,,,,,
August,1.93,2.87,2.41,,,,,,,
September,2.26,5.04,5,,,,,,,
October,9.94,5.61,6.99,,,,,,,
November,3.24,1.92,6.18,,,,,,,
December,2.24,3.01,6.36,,,,,,,
Total,32.87,41.38,60.03,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Exact location unknown, but in Broad Street near to Duke Street according to the census, and a comment on the sheet says in the highest part of town",,,,,,,,,,
,,,,,,,,,,
1873 Gauge moved to South Molton East St,,,,,,,,,,
