HACKNEY-RICHMOND-ROAD-SECOND-GAUGE,,,,,,,,,,
Grid ref,TQ345845,Long,-0.061840889,Lat,51.543377,Elevation,65,ft.,,
Station no,RR7733,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.49,,,,,,,,,
February,1.01,,,,,,,,,
March,1.81,,,,,,,,,
April,1.8,,,,,,,,,
May,1.51,,,,,,,,,
June,2.76,,,,,,,,,
July,3.94,,,,,,,,,
August,2.17,,,,,,,,,
September,0.6,,,,,,,,,
October,1.28,,,,,,,,,
November,1.58,,,,,,,,,
December,0.62,,,,,,,,,
Total,21.57,,,,,,,,,
,,,,,,,,,,
NGR is 232 Richmond Road where the observer Dr J W Tripe appears to have lived. Stated altitude may be 10 ft too high.,,,,,,,,,,
