WREXHAM-BRYMBO-OBS-CE-DARBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ295535,Long,-3.053747,Lat,53.074058,Elevation,632,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.98,1.72,1.69,3.81,3.12,2.27,3.52,2.46,1.48,3.96,3.1,2.04,3.29,1.22,5.4,2.68,1.47,0.44,0.63,2.92,4.75,,,,,,
February,,,,0.53,1.1,1.52,2.8,1.81,2.08,2.65,1.8,2.01,3.2,0.97,2.28,1.17,3,2.88,1.33,2.76,2.17,3.43,1.74,3.18,,,,,,
March,,,,1.13,4.21,1.67,2.06,2.47,2.77,1.51,2.07,1.14,2.8,2.67,1.14,1.09,2.87,2.17,1.32,1.68,1.69,3.23,1.87,1.37,,,,,,
April,,,,1.12,1.69,0.98,0.99,3.48,2.12,1.09,1.52,1.95,3.1,1.01,1.45,0.62,3.08,3.76,1.51,3.44,1.55,0.81,3.96,0.67,,,,,,
May,,,,0.66,2.62,3.49,1.51,2.32,1.41,5.76,1.45,2.09,2.13,2.05,2.32,2.41,0.32,2.54,5.55,2.41,2.31,2.13,1.17,1.69,,,,,,
June,,,,2.89,1.8,1.7,4.62,0.85,0.2,0.86,0.84,2.21,5.77,1.64,0.5,2,1.83,1.06,3.38,5.5,5.1,2.33,3.65,2.45,,,,,,
July,,,,1.73,0.73,2.07,2.53,4.78,1.19,0.71,0.28,3.86,7.32,2,1.98,5.43,1.66,3.32,1.01,5.65,6.38,2,2.89,1.87,,,,,,
August,,,,2.71,1.79,7.26,4.85,0.8,3.49,1.48,1.93,1.36,3.78,2.68,3.43,2.78,3.91,4.63,5.46,6.57,2.83,3.62,2.83,1.45,,,,,,
September,,,,3.45,2.48,0.1,5.78,1.32,2.9,5.48,1.76,5.02,6.45,3.71,2.88,5.2,5.62,3.34,2.48,2.74,2.76,1.54,1.49,5.06,,,,,,
October,,,,4.81,2.54,5.28,1.75,4.72,2.77,3.61,5.92,4.29,7.37,2.45,3.44,6.19,2.73,2.78,5.06,1.25,5.75,3.26,3.3,3.2,,,,,,
November,,,,3.16,3.02,3.49,3.74,0.85,3.23,3.48,2.72,1.29,5.95,2.45,4.89,3.76,5.17,4.17,3.54,1.07,3.17,3.25,5.04,3.48,,,,,,
December,,,,2.04,1.39,1.08,2.01,2.53,7.96,3.93,3.31,1.53,4.79,1.1,2.99,1.09,6.86,2.45,3.12,1.46,5.92,2.27,4.3,1.52,,,,,,
Total,,,,28.21,25.09,30.33,36.45,29.05,32.39,34.08,26.06,28.23,56.62,25.83,29.34,35.03,38.27,38.5,36.44,36,40.07,28.5,35.16,30.69,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Brymbo Iron and Steel Works which the observer, C E Darby, part owned. Altitudes match. He died in 1884 at Pen-y-Garth, 650m N, but it is not clear that he lived there for all of the periond of the observations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
