LLANDDEUSANT-ALBION,,,,,,,,,,
Grid ref,SN761248,Long,-3.8025242,Lat,51.907915,Elevation,786,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.02,8.65,4.07,,,,,
February,,,4.68,2.66,8.12,,,,,
March,,,10.21,10.25,8.08,,,,,
April,,,0.67,9.05,1.46,,,,,
May,,,1.88,4.05,3.73,,,,,
June,,,6.97,3.12,2.33,,,,,
July,,,4.42,1.3,5.47,,,,,
August,,,9.78,2.39,5.03,,,,,
September,,4.2,1.8,3.45,2.07,,,,,
October,,5,5.44,6.68,3.58,,,,,
November,,8.85,4.93,8.74,6.52,,,,,
December,,14.82,9.66,2.47,12.15,,,,,
Total,,,65.46,62.81,62.61,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is from 1910s record and is a school referenced on the record. Altitudes match. The school is 100m East of the NGR. The gauge moved to Pontcrynfe in1915,,,,,,,,,,
