GLOSSOP-FOOT-OF-HILLS,,,,,,,,,,,,,,,,,,,,
Grid ref,SK040940,Long,-1.9412472,Lat,53.442757,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR1977,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,-999,,,,,,,,,,
February,,,,,,,,,,-999,,,,,,,,,,
March,,,,,,,,,,-999,,,,,,,,,,
April,,,,,,,,,,-999,,,,,,,,,,
May,,,,,,,,,,-999,,,,,,,,,,
June,,,,,,,,,,-999,,,,,,,,,,
July,,,,,,,,,,3.5,,,3.5,,,,,,,
August,,,,,,,,,,4.25,,,1.7,,,,,,,
September,,,,,,,,,,7,,,4.5,,,,,,,
October,,,,,,,,,,3.5,,,2.9,,,,,,,
November,,,,,,,,,,5.7,,,6.6,,,,,,,
December,,,,,,,,,,4.8,,,3.3,,,,,,,
Total,,,,,,,,,,44.5,45.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is on the Hurst Brook at about the right altitude. The name Hurst appears on the record and the area east of Glossop has many references to Hurst including Hurst Reservoir, which was built about the time of the observations and it is assumed the readings to do with the construction of the reservoir. May not fit the Foot of Hills description and the gauge could be 1km East, particularly as the stated altitude has a ? after it on the records..",,,,,,,,,,,,,,,,,,,,
"Combined readings given for Jan - Jun 1839 =15.75 , Jan - Jun 1840 = 21.2 and Jul to Dec 1840 = 24",,,,,,,,,,,,,,,,,,,,
1840s record has the following readings 47.22 for the period 15 Dec 1842 to 14 Dec 1843 and 36.2 for the period 15 Dec 1843 to 31 Dec 1844,,,,,,,,,,,,,,,,,,,,
"There is a note on the 1840s record ""1840 is said elsewhere to be only 10.5 months"", but no clues as to where elsewhere was!",,,,,,,,,,,,,,,,,,,,
