HAYDON BRIDGE observer Thomas Bewick,,,,,,,,,,
Grid ref,NY839646,Long,-2.2530592,Lat,54.975747,Elevation,291,ft,,
Station no,RR7481,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.42,0.75,1.63,2.94,5.47,1.36,,,,
February,1.88,2.89,2.07,1.77,1.43,1.24,,,,
March,1.26,2.75,3.2,1.19,1.89,1.95,,,,
April,2.93,1.67,3.37,1.26,1.41,1.6,,,,
May,2.07,1.94,0.87,1.18,2.14,2.3,,,,
June,2.69,2.7,3.85,2.5,0.58,1.14,,,,
July,6.96,4.04,3.05,3.04,5.93,1.11,,,,
August,0.87,5.02,2.51,2.82,0.7,3.45,,,,
September,4.13,4.11,1.64,5.41,2.18,1.7,,,,
October,3.65,4.39,3.24,2.78,2.12,3.51,,,,
November,3.17,2.75,3.67,2.68,1.6,1.58,,,,
December,4.59,2.37,3.56,2.41,3.27,1.41,,,,
Total,34.62,35.38,32.66,29.98,28.72,22.35,,,,
,,,,,,,,,,
"NGR for The Nook, home of the observer in 1881 census as no info on record.",,,,,,,,,,
